stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,ionocyte,iridophores,lateral.line,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,0,72.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.14,0,0,0
  5-6,37.32,12.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.4,0,0,7.29,0,0,0,0,0,0,18.08,0,0,9.9,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,49.1,8.45,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.82,0,0,0,0,0,0,3.11,0,0,0,0,0.81,2.1,0
 24-34,0,0,0,0,0,0.87,0.83,0,0,0.63,0,0.94,4.79,0.95,1.71,0,0.77,0,11.67,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2.2,0,0,0,1.64,0
 48-58,0,0,0,0,0,2.97,0,0,0,0,0,0,11.96,0,0,0,0,0,4.11,0
 60-70,0,0,0,0,0,5.76,0,0,0,0,0,1.22,2.35,0,1.1,0,0,0,0,0
 72-82,0,0,0,0,0,3.16,2.21,0.5,0,0,0.68,1.01,3.68,0,0.58,0,0,0,0,5
 84-94,0,0,0,0,0.63,1.82,0,0.66,0,0,0,0,0,0,0,0,2.27,0,0,0
 96-106,0,0,0,0,0,1.99,3.02,5.06,0,0,0,0,2.15,0,2.03,0,0,0,0,0
108-118,0,0,0,0,0,0,0,5.49,0.58,0,0,0,2.54,0,4.84,0,0,0,0,0
120,0,0,0,1.23,3.04,21.6,0,13.5,0,0,0,0,10.99,0,1.26,0,0,0,0,0
