stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 10-12,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.11,4.37,0,0,0,0,0,0,0,0,0,0,0,0,4.19,0,5.43,0,0,1.81,45.7,0,0.86,0,0,0,3.52,0,0,3.92,16.06,0,1.07,0,0
 24-34,0,0.76,1.33,1.56,0,9.37,0,1.33,0,1.98,0,0,0,0,0.97,0,0,0,7.44,0,0,5.79,176.56,1.42,2.48,2.55,0,50.32,0,2.04,0.66,2.33,37.2,0,0.7,0,3.44
 36-46,0,0,8.42,0,0,8.15,0.67,5.32,0,4.2,0,0,0,0,2.15,0,0,9.51,14.66,0,0,0.57,185.01,3.12,1.29,0.61,0,63.46,0,0,0,0,32.21,0,2.84,0,2.97
 48-58,0,0,4.63,0.45,0,43.59,0.59,5.34,0,7.91,0,0.42,0,0,0,0,0.48,0.46,17.16,0,0,2.13,68.83,0.58,0,0.54,0,24.88,0,0,0,0,13.88,0,7.52,0,0
 60-70,0,0,9.62,1.93,0,23.93,0,1.51,11.2,4.73,0,0,2.8,0,0,0,0,0,12.61,0,0.66,4.04,101.65,1.13,0,1.53,0,18.94,0,2.54,3.89,0,12.07,0,13.59,0,2.09
 72-82,0,0,1.21,1.81,0,28.94,2.27,5.12,1.66,8.86,0,0,0.7,0,0,0,1.24,0,20.84,0,0,0,57.39,0,0,2.53,0,16.5,0,7.39,0,0,7.47,0,10.81,0,0
 84-94,0,0,5.47,0,0,13.83,1.38,4.35,1.83,0,0.66,2.32,0,1.27,0,0,0,0,16.24,0,1.08,0,38.04,0,0.89,2.79,0,40.05,0,1.4,0,0,3.18,0,0,0,0
 96-106,0,0,5.39,5.1,0,12.81,0,0,0,3.55,0,0,0,0,0,0,0,0,16.97,0,0,0,25.05,0,1.47,0,0,11.25,0,1.35,0,0,0,1.22,6.4,0,0
108-118,0,0,5.62,0,6.24,11.23,0,0.55,0,14.74,1.73,0,1.85,0,0,0,0,0,13.09,5.7,0,0,28.68,0,0,6.87,0,22.13,0,0,0,0,5.13,0,0,0,0
120,0,0,2.12,1.23,0,80.2,0,0,2.1,15.81,2.56,0,5.06,2.43,0,1.54,0,0,45.33,0,0,0,62.57,0,18.71,0,18.35,64.8,0,1.83,0,0,0,0,5.28,24.81,0
