stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,279.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0
  5-6,12.39,332.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,12.12,0,0,0,0,0,0,0
  7-9,0,0,0,3.37,0,0,0,3.24,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0,24.04,0,0,0,7.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.72,5.72,0,0,3.39,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.22,5.79,0,2.28,0,0,0,0,0,4.35,10.46,0,0,0,0,1.01,0,0,0,3.68,0,0,0,0,0,0,3.52,0,0,0,2.63,0,0
 24-34,0,0,0,0,28.87,1.49,0,0,0,0,0.67,0,0,0.6,19.26,0,0,0,5.8,3.64,0,0,0.72,8.53,6.42,0,0,0,0,0,1.41,1.36,0,0,2.68,0,0
 36-46,0,0,0,0,23.46,0,0,2.14,1.85,0,1.82,0,0,0,89.7,0,0,0,0,0,0,0,1.18,26.38,1.59,0,0,0,0,0,0,2.81,0,0,2.41,0,0
 48-58,0,0,0,0,20.99,0,0,6.73,4.24,0,0,0,0,0,38.46,0,0,0,0.59,1.79,0.95,0,0.64,26.26,1.36,0,0,0,0,0,0,3.56,0,0.51,0,0,0
 60-70,0,0,0,0,42.46,2.33,0,15.31,17.7,0,12.24,0,0,0,71.5,0,0,0,0,0.59,0,0,0,20.49,0,0,6.45,0,0,1.16,0,0,0,0,1.04,0.8,7.14
 72-82,0,0,0,0,16.64,3.21,0,17.42,10,0,57.48,0,0,0,63.25,0,0,0,0,6.7,7,2.84,0,13.85,0,0,0,0,0,0,0,0,0,0,0,0,6.51
 84-94,0,0,0,0,21.03,0,0,7.41,10.49,0.7,37.35,0,0,0,100.96,1.42,0,0,0,5.89,3.65,0,0,24.2,0,0,0.73,0,0,0,0,0,0,0,1.07,0,0
 96-106,0,0,2.49,0,26.28,3.89,0,4.61,9.68,0,185.74,0.9,0,0,109.9,0.8,0,4.97,0,9.35,13.19,0,0,20.51,0,0.64,0,0,0,0,0,0,0,5.01,0,0,0
108-118,0,0,0,0,50.37,0,0.72,1.51,33.01,0,155.91,1.51,0,0,138.71,0.82,0.65,0.46,0,4.66,21.35,0,0,27.05,0,0,0.62,0,1.51,0,0,0,0.51,0,1.82,0,6.19
120,0,0,0,0,54.83,16.67,0,3.55,8.8,0,384.17,1.67,0,0,147.24,0,0,13.95,0,14.06,1.12,0,0,12.28,0,0,4.36,0,0,0,0,0,0,0,3.69,0,17.88
