stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.59,474.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.32,0,0,0,0,0,0,0,0,0,0
  5-6,0,353.69,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,22.79,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.7,0,0,0,27.08,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.73,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.5,0,0,0,21.72,0,0,4.19,3.78,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.8,3.53,2.03,0,0,0,2.13,0,0,0,0,0,0,0,0,4.44,0,0,1.7,30.55,0,0,0.92,1.12,0,0,3.83,0,0,5.56,12.26,0,0,0,0,304.72
 24-34,0,0,0,0.67,4.34,2.65,12.91,0,0,0,4.47,0.71,0,1.08,0,13.8,0,0.6,5.05,17.42,0,0,7.51,143.28,1.02,0.85,8.76,0,0,2.5,0,0,2.41,0.63,28.41,0,0,2.81,0,3401.75
 36-46,0,0,0,0,0.98,0,35.24,0,0,0.62,15.21,0,0,0,0,92.33,0,7.21,79.93,13.8,0,0,0.63,110.71,0,0,40.94,0,0,4.23,0,8.29,0,0,29.44,0,0,3.57,0,14458.01
 48-58,0,0,0,0,4.2,0,73.77,0,0,1.45,15.2,0,0,2.01,0,127.96,0,0,73.54,22.55,0.41,0,3.68,138.86,0.71,0.47,84.36,0,0.61,3.56,0,2.86,0.73,0,30.55,0,0,0.53,0,19762.7
 60-70,0,0,0,0,19.3,0,22.97,0,0,1.52,5.16,0,0,0,0,30.36,1.97,0,50.73,9.33,0,0.81,2.27,73.21,0,0,74.45,0,0,4.73,0,0,0,0,5.89,0,0,0,0,17519.1
 72-82,0,0,0,0,8.22,2.22,98.02,0,3.55,8.04,4.35,0.65,0,4.56,0,22.2,0.65,3.14,24.15,12.4,0,0,0.71,41.98,0,0,96.42,0,0,4.42,0,0,0,0,3.45,0,0,1.65,0,11052.17
 84-94,0,0,0,0,7.73,9.41,174.7,5.38,0.81,0.57,12.83,0,0,0,0,70.19,0.92,0,30.51,16.16,0,5.33,1.26,48.46,0,0,146.35,0,0,2.67,0,0,0,0,12.76,0,0,4.38,0.67,9643.72
 96-106,0,0,0.99,0,17.97,17.62,159.46,0,0,1.02,12.94,0,0,17.65,0,1.98,0,0,6.49,28.55,0.68,5.96,6.67,126.63,0,0,169.98,0,0,3.99,0,0.93,0,0,4.8,1.59,0,0,1.15,5327.75
108-118,0,0,0,0,8.84,1.19,36.46,0,0,0,9.23,0,0,1.48,0.63,15.07,3.71,9.59,24.35,14.93,0,10.72,1.39,43.78,0,0,301.29,0,0,5.46,0,0,0,0,0,1.01,0.43,0,0,4067.95
120,0,0,0,0,13.86,0,23.14,0,0,0,0,0,0,0,0,15.18,0,0,0,24.9,0,0,0,17.76,0,0,215.52,0,0,2.79,0,0,0,0,0,0,0,9.36,0,1294.11
