stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,119.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0
  5-6,0,176.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0
  7-9,5.19,7.29,16.2,0,0,14.65,0,0,0,0,14.54,0,0,0,0,152.3,0,0,85.92,6.92,0,0,0,0,0
 10-12,0,0,8.42,0,0,10.3,0,0,0,0,0,0,0,0,0,195.15,5.15,0,53.02,0,0,9.87,0,0,0
 14-21,0,0,1.03,1.22,5.91,0,0,0,0,3.24,0,0,0,25.14,22.15,7.08,4.15,0,0,0,0,4.71,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,9.05,0,0,0.94,10.04,3.32,0,0,4.71,0,0,1.46,0,0
 36-46,0,0,0,1.71,0,1.01,2.45,0,0,0,0,11.15,0,0.7,0,1.12,0,0,0,11.9,0.81,0,0,0,0
 48-58,0,0,0,0,0,19.58,0.55,0,0,0,0,6.67,0,0,0,3.85,1.79,0.68,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,8.2,0,0,3.84,2.01,0,8.83,1.16,0,1.93,4.08,13.15,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.49,0,0,0,0,0,0,0,6.06,0,7.24,0,1.3,0,0,0,0.55,0,0,0,0.7,0
 84-94,0,0,0,0.91,0,2.02,0,0,0,3.23,0,11.79,0,0,0,3.89,0.71,0,0,1.33,0,0,0,0.73,0
 96-106,0,0,0,0,0,0,0,0,0,5.26,0,8.07,0,0,0,1.35,0,0,0,0,0,0,0,0,3
108-118,0,0,0,0,1.98,0,0,0,0,21.18,0,7.55,0,4.71,0,1.34,0,0,0,1.72,0,0.72,0,1.32,0
120,0,0,0,0,0,0,0,1.33,0,17.46,0,15.64,0,2.76,0,13.68,0,0,0,4.32,0,0,0,4.19,0
