stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,3.84,0,0.89,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,1.73,3.56,0,0,0,0,0,0.57
 48-58,0,0,0,0,0.46,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0
 60-70,0,0,1.03,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.53,0,0,1.15,0,0,0,0
 72-82,0,0,5.99,0,10.26,0,0,0.94,0,0,2.99,0,0,0.5,1.73,0,5.31,0,0,50.07,0,0,0.7,0.74,0,0,0
 84-94,0,0,24.13,0,1,1.19,0,0,0,2.18,0,0,0,0,0,0,0,0,0,92.23,0,0,0,0,0,0,0.74
 96-106,0,1.23,140.69,3.17,18.03,73.13,0,8.04,0,15.48,0,0,1.06,15.86,22.96,1.64,71.27,0,0,1972.76,0,5.77,0,0,0,7.37,3.29
108-118,0,0,102.77,0,3.42,27.74,6.94,7.63,0.84,38.59,0,0,0,1.81,4.1,0,5.07,0.84,0.72,784.09,0,0,0,0,1.2,0,0
120,0,0,30.79,0,0,13.23,0,0,0,6.78,0,0,0,0,6.79,0,21.68,0,0,649.94,0,0,0,0,0,0,6.17
