stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77,5.93,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0
 14-21,0.8,0.85,3.76,0,0.87,0,0,0,0,0,0,2.33,0,0,0,15.41,0,0,0,0.87,0,3.66,6.32,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.37,1.55,0,0,0,16.53,0,0,0,0,0,0,6.6,0
 36-46,0.95,0,1.82,0,7.59,0,0,0,0,0,0,0.71,0,0,0,56.36,0,0,0,0,3.52,0,9.28,0
 48-58,0,0,0,0,3.42,0.6,2.36,0,0,0,1.66,7.55,0,0,0.64,62.04,0,0.44,0.46,0,0,0,14.27,5.19
 60-70,0,0,0,0,25.14,0,0.65,0,0.63,0,0,7,0,0,0,57.28,0,5.93,0,0,0,0,3.44,1.71
 72-82,0,0,0,0.66,32.86,0.92,6.21,0,0.56,0,0,7.13,1.8,0,0.7,49.51,0,1.88,0,0,0,0,0,2.31
 84-94,0,0,0,0,11.63,0,0,0,0,0,0,3.82,0,0.58,0,32.47,0,0,0,0.58,0,0,0,0.82
 96-106,0.91,0,0,0,32.57,1.05,4.15,0,0.95,0,0,7.27,0,0,1.84,24.51,0,0,0,0,0,0,0,4.62
108-118,0,0,0,0,6.86,0.96,8.33,1.58,0,0.6,0,2.3,0,0,0,28.05,0,1.12,0,0.47,0,0,0,0
120,0,0,1.07,0,27.65,0,0,0,0,0,0,6.3,0,0,0,28.71,0,0,0,2.73,0,0,0,0
