stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,0,0,0
  5-6,34.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,3.42,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.07,0,0,5.07,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.33,0,0.86,0,0,0,0,0,1.2,0,0,0
 24-34,0,6.19,0,0,0,0,0,1.93,0,0,0,0,0,2.97,0,0,30.92,0,44.27,0,0,0,0,0,17.89,0,0,0.8
 36-46,0,0,0,0,0,0.88,0,1.43,0,0,0,1.32,0,0.61,2.36,0,42.84,0,38.98,0,10.62,0,2.03,0,31.37,0,0,0
 48-58,0,0,0,0,0,2.05,0,0,0,1.37,0,0,0.48,0,0.7,0,45.6,1.29,60.22,0,0,0,0,0,11.16,0,0,0
 60-70,0,0,0,0,0,6.58,0,2.3,0,0,0,0,0,0,0,0,63.55,3.46,66.8,0,0,0,0,0,10.02,0,0,0
 72-82,0,0,1.16,0,0,10.39,0,2.44,0,0.89,0,0,0,0,3.61,0.66,111.91,0.73,126,0,0,1.65,0.49,0,0.84,0,0.75,0
 84-94,0,5.64,3.15,0,0,4.61,0,0.73,4.79,0,0,0,0,0,0,0,84.12,3.4,193.7,0,0.95,0,0,0,3.7,0,0,0
 96-106,0,0,1.89,8.79,3.15,0.88,0,2.93,0,0,0.95,1.2,5.95,0,1.77,0,98.86,5.85,252.92,0,0,0,0.73,0.64,4.17,2.19,0,0
108-118,0,0,3,1.05,0,9.13,0.56,1.54,0.82,0,0,0,0,0,0,0,111.95,0,192.16,0,1.47,0,0,0,0,0.52,0,0
120,0,1.73,1.34,0,0,10.95,0,3.32,0,0,0,0,0,0,1.95,0,194.7,0,212.72,0,0,0,0,0,0,0,0,0
