stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,89.87,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.27,441.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.96,11.61,0,0,0,34.82,0,0,0,0,0,22.11,0,0,0,0,0,0,0,0,0,0,346.05,5.73,0,0,113.07,0,0,26.07,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.7,3.04,0,0,0,22.56,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,418.43,0,0,0,139.26,0,0,0,4.61,10.11,0,0,0,0,0,0,0,0
 14-21,0,0,1.88,52.41,11.91,0,31.97,0,0,0,6.33,2.07,4.17,1.52,0,1.16,0,0,2.33,5.01,24.43,0,20.37,223.93,1.85,5.23,6.14,1.73,0,4.56,0,44.15,1.68,2.19,58.58,62.83,0,0,1.24,0,0
 24-34,0,0,0.64,9.69,1.75,0,14.17,0,0,0,3.25,1.46,1.11,0.98,1.68,0,1.03,0.68,3.08,5.97,40.88,0.69,30.11,220.36,1.76,0,7.08,0,0.99,6.75,0,0.71,0.76,0,2.74,28.41,0,0,9.29,0,2.3
 36-46,0,0,0.63,13.49,0,0,7.14,0,0.56,0.96,10.52,0.61,0,0.79,0.94,0,0,1.58,0,22.2,27.42,0,2.05,122.12,0,0,6.23,0,0.97,6.43,0,0,0,0.58,0,13.26,0,0,4.93,0,11.82
 48-58,0.58,0,0,2.46,0.72,0,17.71,0,2.51,0.97,11.69,0,0,3.42,2.17,0,15.37,2.01,1.39,31.04,56.65,0.79,5.39,103.82,5.42,0,1.88,0,0.73,2.81,0,0,0,0,0,12.3,0,0.44,5.18,0,13.05
 60-70,0,0,0,19.36,1.39,0,4.47,0,0.8,2.2,22.52,0,0,1.59,0,0,0,2.62,0,31.42,61.55,0.65,5.65,89.26,0,0,0.65,0,2.44,1.99,0,0,0,0,0,10.92,0,1.88,3.8,3.94,72.04
 72-82,0,0,0,11.62,9.8,0,17.21,0,0.58,0,37.76,0,0,5.95,1.56,0,4.07,5.64,1.92,21.22,101.25,8.12,4.54,86.73,0,1.7,4.67,0,2.75,3.32,0,0,0,0,0,1.29,0,3.88,2.64,6.21,22.78
 84-94,0,0,0,9.68,3.91,0,20.94,0,3.22,0,32.1,0.86,0,7.32,4.33,0.83,0,0.61,1.22,63.17,95.92,18.45,5.21,90.25,10.32,0,11.78,0,3.32,13.53,0,0,0.81,0,0,3.6,1.01,3.44,15.96,9.89,47.47
 96-106,0,0,0,2.72,1.15,2.08,6.65,0,0,0,67.87,1.66,0,2.73,9,9.11,8.7,3.16,3.41,9.59,76.96,7.59,4.93,65.43,0.91,0,16.39,0,10.17,10.51,0,0,0,0,0,0,0,6.1,2.09,9.64,56.17
108-118,0,0,0,12.52,0.47,20.97,20.18,0.58,6.73,3.78,42.31,1.22,0,6.35,5.02,3.98,18.07,3.16,5.02,15.3,84.63,7.93,5.66,91.3,0,0,6.69,0,4.56,10.98,0,0,0.85,0,0,0.93,0,1.23,5.54,7.79,36.48
120,0,0,0,14.05,0,4.61,3.49,0,1.03,0,47.88,12.47,0,5.01,4.57,0,3.22,0,0,11.09,98.04,28.52,7.02,61.17,0,0,12.87,0,4.22,16.76,0,0,0,0,0,0,0,8.35,15.22,5.25,0
