stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,18.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0,0
  5-6,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41,0,0,0,24.14,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,7.62,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.2,0,0,0,9.87,0,0,0,0,0,0,0,0,0,14.25,0,1.25,0,0,0,0
 24-34,0,0.92,0,0,0,0,0,0.67,4.49,0,0.98,45.84,10.57,0,2.49,0.69,0,17.7,0,8.78,0,24.42,1.16,0.72,0,0,0,0
 36-46,0,0,0,0,0.62,0,0,0,1.36,0,0,17.31,9.05,0,0,1.37,0,147.29,0,5.69,0,40.2,0,0,0,0,0,7.17
 48-58,0,0.41,1.85,0,0.55,0,0,0,3.46,0,0,12.84,6.88,0,0,2.4,0,69.36,0,3.54,0,49.89,0,0,4.39,0,0,0
 60-70,0,4.4,1.48,0,0,0,0,0,1.41,0,1.16,16.98,1.39,0,0,0,0,28.97,0,2.53,0,91.63,0,0,1.71,2.79,0,0
 72-82,0,2.1,0,0,1.55,0,5.73,0,0.6,0,0,19.96,10.34,0,2.97,0,0,25.05,0,3.94,0,104.12,0,0,2.25,0,0,0
 84-94,0,4.9,2.32,2.96,12.48,0,5.87,0,0.66,0,0,74.73,8.01,0,0,1.56,0,86,0,26.03,0,367.14,0,0,0,2.22,0,0
 96-106,0,27.29,8.21,0,6.63,0,4.07,0,0,0,0,64.33,22.68,2,3.18,6.55,0.67,36.56,1.05,38.77,0,449.96,0,0,0,3.94,0.68,0
108-118,0,46.72,1.63,0,22.1,2.55,0,1.97,0,0,0.89,96.47,12.17,0,9.34,12.19,0.43,29.23,0,28.08,0,430.46,0,0,0,3.47,0.57,0
120,0,31.93,2.22,0,12.91,0,9.72,0,0,2.18,0,61.07,12.72,0,8.37,1.47,0,41.83,0,26.92,0,286.09,0,0,0,10.31,0,0
