stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,16.11,48.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,2.21,0,0,0.72,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,4.99,0,0,0,18.55,1.51,0,0.71,0,1.3,0,0,0
 48-58,0,0,0,0,2.3,0,0.4,6.05,0,0,0,0,0,0.56,0,0,2.49,0,0,0.75,23.59,1.13,0,0,0,0.45,0,0,0
 60-70,0,0,2.12,0,5.67,0,0.81,0.78,0,0,0.65,0,0,1.16,0,0,3.09,0,0,0,16.46,0,2.13,5.61,0,6.2,0,0,0
 72-82,0,0,0,0,17.46,0,0,1.28,0,0,1.67,0,0,0,0,0,3.74,0,0,0,40.39,0,0,0.58,0,6.66,0,0.68,1.11
 84-94,0,0,0.6,2.63,2.29,0,0,1.33,3.39,0,3.61,0,0,0,0.69,0,1.29,0,0,0.61,41.44,0,0,5.44,0,0,0,0.77,0
 96-106,0,0,1.78,0,29.37,0.6,0,2.44,0,0.96,0,0,0,0.86,0,0,8.32,0,0,0,22.56,0,1.37,7.52,0,0,0.81,0,0
108-118,0,0,5.31,6.37,26.43,0.53,0,4.35,0,0,1.26,0.79,4.89,1.02,0.9,1.43,7.66,5.21,0.51,0.57,61.56,0,3.02,5.35,0,1.84,0,2.81,0
120,0,0,34.08,4.61,42.93,10.68,8.22,22.99,6.21,0,8.12,3.91,0,0,0,1.79,48.14,0,0,5.17,302.55,3.22,8.31,22.14,1.94,0,2.82,6.17,6.22
