stage,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0.82,0,0,0,0,0,0,0.91,0,0,0,0,1.04,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,32.4,0,0,0,0.99,9.18,0,0,0,0
 36-46,1,0,4.9,2.33,0,0,0,0,0,87.09,1.92,0,0,5.36,16.84,0,0,0,0
 48-58,3.79,0,11.27,2.05,0.68,0,0,0,1.2,153.78,1.29,0,0.7,0,12.41,0,0.77,0,0
 60-70,3.53,0,19.07,0,0.88,1.9,0,1.93,0,245.49,0,0,3.36,0,15.47,0,0,0,0
 72-82,0,0,40.81,0,1.23,0,0,2.22,0,312.56,3.01,0.79,0,0,15.78,0.95,0,0,0
 84-94,0,0.69,27.75,0,3.69,0,0.67,0.56,0,168.86,0,0,0.72,0,11.36,0,0.73,0,0
 96-106,1.36,0,15.3,0,0,0,0,0,0,135.63,0,0,0.61,0,2.88,0,0,0,0
108-118,4.96,0,17.24,0,0,0,0.89,0,1,169.35,0,1.45,4.61,0,9.47,0,0,0.65,1.42
120,1.65,0,1.93,0,0,0,0,1.76,0,468.5,0,0,1.03,0,29.89,0,0,0,0
