stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,291.96,6585.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.64,0,0,0,0,0,0,0,0
  5-6,292.63,4195.84,0,0,0,0,0,0,0,0,0,35.83,0,0,0,0,0,0,0,0,0,192.12,0,0,0,25.85,83.28,0,0,0,0,0,0,0,0
  7-9,27.48,32.84,0,12.6,0,0,66.26,0,0,0,0,15.99,0,0,0,0,0,0,0,0,0,808.5,32.7,0,0,157.09,3.5,33.1,0,0,0,0,0,0,0
 10-12,0,47.39,0,23.12,0,0,21.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706.17,41.62,0,0,63.85,0,0,0,5.34,0,0,0,0,0
 14-21,0,0,0,0.86,4.4,0.83,6.33,0,0,80.33,0,0,0,0,0,0,0,0,0,0,0,711.19,1.7,0,0,0,7.18,2.52,7.73,0,2.25,409.91,0,0,0
 24-34,0,0,0,0,2.98,0,8.25,0,0,43.4,2.19,0,0.86,0,0,0,0.96,0,9.24,0,1.86,872.93,0,2.19,0,0,6.37,1.29,0,0,0,330.38,0.65,0,0
 36-46,0,0,0,0,0,0,8.49,0,0,71.34,0,0,0,0,0,0.7,4.79,3.65,0.58,0,1.22,488.93,3.5,1.15,0.58,0,0,2.32,0,1.06,0,394.13,0,0,2.45
 48-58,0,0,0,0,0.43,0,15.07,0,0,53.4,0,0,0.88,6.78,0,0,0,0,2.26,0,0,189.05,0,0,0,0,0.58,1.96,0,0,0,175.98,0,0,0
 60-70,0,0,0,0,1.4,0,15.62,0,0,40.87,0,0,0,0,0.72,0,0,0,3.46,0,0,50.66,0,0,2.52,0,0,0,0,0,0,41.29,0,0,0
 72-82,0,0,0,0,0.77,0,8.08,1.07,1.46,31.39,0,0,0,0,0,0,0,0,1.88,0,0.66,44.71,0,0,4.99,0,0,0.56,0,0,0,11.7,0.7,0.85,0
 84-94,0,0,2.22,0,0.66,0,21.73,0,0,37.22,0,0,0,0,2.54,0,0,0,0,0,0,52.55,0,0,0.91,0,0,0,0,0,0,20.45,0,0,0
 96-106,0,0,0,0,4.38,0.95,28.6,0,0,35.27,0,0,0,0,1.66,0,0,0,4.01,0.68,0,47.76,0,0.71,1.94,0,2.86,3.73,0,0,0,2.03,0,0,0
108-118,0,0,0,2.21,4.55,0,17.98,0,0,45.07,1.91,0,0,0,0,0,0,0,0,0,0.42,61.84,0,0,3.95,0,0,4.3,0,0,0,1.53,0,0,0
120,0,0,0,0,1.92,0,36.13,0,0,88.3,0,0,0,0,0,0,0,0,0,0,0,78.3,1.03,0,2.34,0,0,5.36,0,0,0,1.19,0,0,0
