stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,769.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.85,0,0,0,0,0,0,0,0,0
  5-6,29.71,935.11,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,48.73,36.97,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0
  7-9,6.95,46.38,0,46.54,0,0,0,63.24,0,0,0,24.08,0,0,0,0,0,0,0,0,0,883.74,39.09,0,0,235.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.95,0,67.38,0,6.18,0,135.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1088.88,8.86,0,0,306.51,0,0,10.13,10.74,50.89,0,0,0,0,0,0
 14-21,0,0,0,0,7.54,1.33,0,1.72,0,0,1.85,0,0,0,0.96,0,0,4.24,0,0,5.37,100.3,0,0,0.81,1.61,0,0,0,7.9,0,4,28.53,0,0,0,0
 24-34,0,0,0,0,1.57,0,0,18.69,0,0,2.8,0,0,0,0.65,0,0.96,14.13,0.69,0,2.95,185.84,0.63,1.87,0.68,0,0,0,0,0,0.69,1.37,44.97,0,0.67,0,0
 36-46,0,0,0,0,1.25,0,0,27.82,0,0,3.73,0,0,0,0,0,0,11.86,0,0,1.93,278.45,0.63,2.06,0.72,0,0,22.63,0,0,0,0,49.05,0,1.76,0,0
 48-58,0,0,0,0,7.57,0,0,36.53,0,0.73,3.85,0,0,0,12.9,0,0,11.69,0,1.42,0,276.42,0.49,0,0,0,0,3.48,0,0,0,0,37.24,0,0.79,0,2.55
 60-70,0,0,0,0,6.15,0,0,101.81,0.74,0.7,19.24,0,0,0,0,0,0,19.61,0,0,1.37,334.39,2.9,0,2.47,0,0,5.82,0,0,0,0,60.82,0.6,1.15,0,1.18
 72-82,0,0,0.69,0,1.92,0.96,0,84.73,0,3.87,6.45,0,0,0,0,0.54,0,22.15,0,0,1.42,252.2,0,0.6,1.14,0,0.71,0,0,0,0.9,0,18.68,0.75,1.13,0,0
 84-94,0,0,0,0,4.77,0.86,0,49.99,0,0.94,7.84,0,1.31,0,0,0,0,16.11,0,0,0.65,101.13,0,0,2.13,0,0,3.38,0,0,0,0,24.36,0,0,0,2.4
 96-106,2.68,0,0,0,1.05,0,0,62.15,0,0,5.24,0,0,0,0,0,0,14.18,3.47,1.1,2.32,95.78,0,0,0.87,0,0,2.64,0,0,0,0,19.14,0,1.71,0,0
108-118,0,0,0,0,2.33,0.57,0,41.21,1.12,0,11.12,0,0,0,0.86,0,2.56,9.72,0,0,2.61,150.41,0,0.43,0,0,0,0.42,0,0,0,0,2.17,0,0,0,0
120,0,0,0,0,4.12,0,3.13,52.8,0,0,7.53,0,0,1.11,0,0,0,15.8,0,0,0,213.99,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37,0
