stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.98,1743.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.46,0,0,0,0,0,0,0,0,0,0
  5-6,41.79,1386.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.92,0,0,0,18.19,443.33,0,0,0,0,0,0,0,0,0,0
  7-9,4.71,4.71,0,8.61,0,0,0,25.3,0,0,0,0,0,27.85,0,0,0,0,0,0,0,0,0,0,322.18,0,0,0,91.44,112.59,14.25,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.99,19.56,0,0,18.93,45.24,0,0,4.44,0,0,0,0,0,0,0
 14-21,0,0,0,7.49,349.08,0.94,0,1.77,0,3.44,0,0,9.52,5.88,0,0,28.16,0,0,0.86,0,3.82,0,0.88,14.96,0,12.03,27.42,0,510.22,0,2.17,5.82,0,2.81,8.27,0,0,0,0
 24-34,0,0,0.84,9.82,239.44,0,0,7.39,0,36.06,0,0,3.64,4.49,0,0.6,46.2,0,13.8,0.65,5.6,22.62,0.91,1.5,148.17,0,45.15,57.33,0,1231.07,0,0,2.71,0,0,10.85,0,8.97,0,0
 36-46,0,0,0,0.56,150.5,0,0,5.21,0,33.27,0,0.83,1.67,1.36,0,0,54.09,0,14.91,0,10.95,22.85,0,0,129.04,0.59,27.87,20.31,0,1500.33,0,0,0.72,0,0,17.68,0,0.65,0,2.75
 48-58,0,0,0,0,108.22,0,0,12.91,0,50.67,2.97,1.21,0.82,21.79,0,0,27.64,0,13.31,0.39,7.13,21.82,0.53,0.73,100.79,0,23.48,21.82,0,1115.9,0,0,0,0,0,9,0,0,0,0
 60-70,0,0,0,0,147.65,0,0,30.37,0,55.63,0.8,0,0,0.66,0,0,34.3,0,14.74,0,4.23,31.74,0,1.9,48.18,0,22.37,22.23,0,850.3,0,0,2.34,0,0,4.14,5.87,0,0,0
 72-82,0,0,0,0,97.69,0,0,37.05,5.32,22.18,0,4.69,9.75,1.66,0,2.71,27.65,0,25.52,0,1.83,27.23,0,0,54.95,0,10.04,24.86,0,436.44,0,0,0.55,0,0,7.85,16.22,0,0,0
 84-94,0,0,0,0,184.82,0,0,29.16,0.79,56.71,0,1.61,19.88,8.13,0,0,28.55,0,20.33,0,2.13,36.38,0,0,20.78,0,26.49,31.75,0,1134.79,0,0,1.07,0,0,5.07,73.94,0,0,0
 96-106,0,0,1.17,0,204.01,10.36,0.66,29.63,0,42.47,0,4.32,43.84,0,2.33,0.64,52.95,0,44.14,0,17.95,51.52,0.8,3.02,62.79,0,33.4,23.35,0,879.08,0,0,0,0.69,0,0,179.65,1.81,0,0
108-118,0,0,0,0,219.02,0,0.51,15.63,0,92.08,0,8.65,61.72,0,0,1.3,58.77,0,30.31,0,11.56,61.02,0,0,56.36,0,32.73,36.83,0,819.74,0,0,2.37,0.6,0,5.85,219.86,0,0.85,0
120,0,0,0,0,196.53,6.82,0,14.14,0,68.04,0,0,50.15,0,0,3.71,52.58,1.01,18.45,4.74,0,58.13,0,2.4,67.38,0,20.22,55.5,0,490.09,0,0,2.04,0,0,0,72.38,0,0,0
