stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,357.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.35,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.79,118.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.82,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,14.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.14,46.9,7.93,0,4.06,0,0,0,0.85,1.88,0,9.56,0,4.29,0,0,6.37,0,20.09,0,0,3.7,42.52,14.61,0.86,1.23,0,44.62,0,3.86,3.18,3.61,7.12,11.24,0,0,5.13,0,0
 24-34,0,0,1.48,5.57,77.8,7.63,0,42.8,0,14.37,0.74,17.58,0.91,0,3.08,8.56,58.3,0.82,3.52,2.46,3.02,89.21,10.65,1.63,61.69,626.14,18.36,105.04,10.73,0,512.8,0,0.76,14.98,17.97,13.86,154.65,0,0,22.27,0,2.26
 36-46,0,0,0.73,0,83.52,0,0,113.34,11.54,31.36,3.21,28.06,0.67,0,3.01,2.01,39.4,1.04,3.62,0,4.13,136.61,23.42,6.57,42.45,590.01,17.34,111.52,12.3,0,1475.05,0.65,0,6.4,11.56,1.61,104.69,0,0.62,18.55,0,11.07
 48-58,0,0,0,0.43,46.39,3.26,0,119.53,2.38,39.01,1.57,37.68,2.96,2.47,0.41,3.78,13.59,0.83,2.67,6.25,9.74,106.79,17.64,3.72,12.84,340.48,2.08,93.41,4.52,1.13,1134.71,0,0,0.91,4.45,0,44.03,0,0,6.31,0,20.5
 60-70,0,0,1.51,0,86.84,11.43,0,146.88,6.23,43.12,3.16,64.15,7.26,2.3,0,12.59,35.12,1.37,5.3,22.61,9.23,200.51,14.82,8.88,12.14,314.15,2.58,66.48,8.19,2.43,865.7,0,0,3.04,5.97,0,34.99,0,0,12.92,0.87,18.72
 72-82,0,0,5.21,0,63.37,22.91,2.13,128.1,0,27.21,17.68,143.26,76.22,0,3.36,8.81,41.01,4.14,17.38,17.34,7.34,237.42,10.67,16.71,16.85,418.45,0,196.93,14.32,4.71,381.15,0,0,7.11,4.76,0,29.68,10.94,4.64,25.49,12.23,39.48
 84-94,0,0,2.45,0,111.8,55.71,0.74,132.9,1.46,48.65,12.28,108.42,142.02,2.54,2.91,23.97,78.48,5.46,18.34,18.61,8,242.6,18.21,13.94,20.77,305.68,3.33,144.06,24.39,0,1126.57,0,0,10.96,4.7,0,7.06,26.46,9.72,28.71,17.14,23.03
 96-106,0,0,4.14,0.65,135.68,82.66,0.8,132.97,3.05,30.34,7.77,156.48,507.02,0,6.13,29.73,77.46,6.03,65.06,42.7,0,211.43,18.48,4.7,22.11,337.56,2.01,265.83,32.87,9.13,538.74,0,0,8.15,1.39,0,12.63,49.04,8.42,40.68,18.72,7.42
108-118,0,0,1.18,0.68,140.25,47.41,7.57,115.52,1.55,46.34,32.08,180.86,964.59,0,5.23,32.17,98.85,11.23,28.12,37.62,5.04,214.52,5.76,13.7,13.97,415.18,3.05,172.85,22.63,4.46,459.53,0,0,12.15,2.66,0,16.44,39.29,8.37,30.45,10.58,11.14
120,0,0,20.51,0,145.14,26.35,5.41,131.59,3.27,27.31,21.75,119.58,678.79,0,2.31,65.82,62.93,9.02,36.63,48.66,0,213.78,8.86,0,15.41,592.84,0,188.36,35.34,9.09,313.75,0,0,10.4,1.52,0,9.9,32.14,7.34,31.9,2.01,2.59
