stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,0,0,0,3.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.76,0,0,0,0,0,0,8.1,0,0,0,0,0,0
 14-21,2.11,2.25,0,0,0,0,0,0,6.84,0,0,0,0,0,0,3.79,0,0,3.2,3.44,0,0,0,0,0,0,1.14,0,0,0,0,0,0
 24-34,4.58,0.91,0,0,0,0,12.47,0,15.88,0,0,0,7.3,0,0,39.34,0,0,19.24,17.56,0,0,4.82,0,0,5.48,1.39,0,1.37,0,13.95,0,0
 36-46,2.23,0,0.77,4.96,0,3.88,19.83,2.31,12.55,0,0,0,3.56,0,0.86,120.63,0,1.26,4.31,4.42,0.6,0,1.46,0,0,47.54,1.46,6.79,5.43,0.85,41.79,0,0
 48-58,9.18,0,5.12,5.34,0,20.02,38.14,0,23.67,0,0,0.38,1.01,0,0,196.35,0,3.23,9.91,38.24,0,0,8.13,0,1.75,40.09,1.13,6.02,5.73,0.61,52.82,0.9,0
 60-70,1.17,0,22.63,2.89,1.49,33.26,79.54,0,38.17,0,0,1.16,0,1.2,0,491.18,0,1.32,23.64,50.51,0,0,9.49,0,8.57,23.2,0,4.27,9.12,2.73,40.13,3.37,5.66
 72-82,5.34,2.88,39.17,5.21,0,23.73,125.71,3.51,21.65,1.11,0,0,3.07,0,0,657.45,0,22.09,20.99,38.52,0,0,16.8,0,2.41,35.42,0.97,0.79,15.9,6.32,122.46,8.46,0.67
 84-94,6.37,1.49,22.04,2.98,6.25,58.81,144.98,2.17,16.14,0,0,0,1.92,1.81,1.36,585.84,1.22,11.67,28.34,38.68,0,0,41.38,0,13.84,78.65,1.11,2.28,5.7,9.98,129.24,8.06,0
 96-106,0,10.34,30.44,8.09,13.93,21.61,112.93,0.75,15.68,0,0.95,0,10.45,0,0,649.95,0,12.71,30.01,60.93,0,0,43.09,0,8.79,61.86,1.82,0.56,12.05,7.33,125.77,13.13,3.94
108-118,8.74,0,26.48,7.04,0,10.07,92.94,0.63,21.07,0.51,1.27,0,11.33,1.21,0,718.76,0,1.73,28.01,52.57,0,1.4,38.16,0,22.98,44.27,0,1.5,3.8,11.32,105.18,15.22,4.91
120,1.28,0,32.48,2.52,0,25.9,84.64,0,35.61,0,0,0,5.58,0,0,668,0,25.01,26.48,44.77,4.62,0,49.47,0,55.38,48.82,0,0,10.18,3.24,100.01,0,0
