stage,axial,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  7-9,3.82,8.66,0,0,0,0,0,0,0,0,0,0,12.72,0,0,4.15,0,0,0,0
 10-12,0,0,0,0,6.6,0,0,0,0,0,0,0,28.93,0,0,4.79,0,6.93,0,0
 14-21,0,0,0,4.61,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.78,1.15,0,0,0,0,0,0,0,0,0,0,1.78,4.14,2.22,0
 36-46,0,0,11.2,0,0,0,0,0,0,0,0,0,2.36,0.66,0,0,0,8.27,0.69,0
 48-58,0,0,0,0,4.12,0,1.13,0,0,0.53,1.11,0,0,0,0,0,0,1.9,0,0
 60-70,0,0,2.68,0,0,0,21.81,0,0,0,1.12,0,5.94,0,0,0,0,2.94,0,0
 72-82,0,0,2.24,0,0,0,5.15,0,0.67,0,2.83,0,7.98,0,0,0,0.96,0,0,0
 84-94,0,0,0.62,3.74,0,0,4.53,0,0,0,0,0,2.38,0,0,0,0,3.98,0.66,0
 96-106,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0.77,0,0
108-118,0,0,1.93,0,0,0,8.24,0,0,0,0,0.54,3.28,0,2.33,0,0.72,1.04,0,0.51
120,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7.79,0,0
