stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,23.78,258.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0
  5-6,0,80.93,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59,0,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0,27.21,0,0,0,0,0,12.47,0,3.11,0,0,0,0
 14-21,0,0,1.69,1.52,1.28,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,2.32,0,1.3,0,0,3.28,1.53,4.37,0,0,0.88,2.82,0,22.35,0,2.63,0,0,0,4.69,0.67,0,0,0,0,0
 36-46,0,0,0.73,0,2.6,1.13,0,0,9.54,0,0,13.11,7.58,5.46,1.97,28.43,0,2.29,0,0,0.79,3.87,0,0,2.12,0,0,1.41
 48-58,0,0,0,0,1.9,0,0,2,7.11,0,4.44,6.41,1.57,11.55,0,17.97,2.25,4.04,0,0,0,1.65,0,0,1.03,0,4.33,0
 60-70,0,0,0,0,6.11,2.05,0,1.29,16.75,0,0,0,1.17,4.55,0.65,5.38,0,4.18,0,0.71,0.83,0,0,0,0.96,0,0,7.36
 72-82,0,0,3.48,0,0,0,0.81,0.88,4.79,1.16,0,0,0.56,14.26,0,17.08,0.75,0,0,0,0,1.92,0,0,0,0.56,1.77,0
 84-94,0,0,4.68,0,0.56,3.84,1.09,7.21,2.94,0,0.83,0.96,0,4.15,0,7.88,0,2.83,0,0,0,1.44,0,0,0,3.23,0,2.83
 96-106,0,0,3.58,0,0,2.32,0,3.62,5.32,0,0,0,1.04,6.85,0,1.75,0,0.84,0,0,0,2.35,0,0,0,6.95,0.59,0
108-118,0,0,1.65,0,0.89,3.6,0,8.31,9.16,0,1.1,0,2.57,1.29,0,1.64,0,1.48,0,0,1.04,1.1,0,0,0,0,0,3.36
120,0,0,0,0,2.09,0,0,13.27,16.29,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,3.15,0,0
