stage,endoderm,epidermis,eye,glial,immune,mesenchyme,muscle,neural,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,0,1.1,0,0,0,0,1.8,0,0,4.94,0,0
 24-34,0.65,0.94,0.68,0,0,0,0,12.32,0,1.47,0.86,0,0
 36-46,0,0,1.33,1.33,0,0,0,11.08,0,0.56,4.02,2.41,0
 48-58,0,0,3.11,0,0,0.61,1.23,11.6,0,0,2.38,0,0
 60-70,0,0,5.73,1.54,0.92,0,0,6.5,0,0,0,0,0
 72-82,0,1.27,0,0,0,0,0,2.84,0.54,0,0,0,0
 84-94,0,0,0,0,0,5.82,0.66,3.14,0,1.58,0,0,0
 96-106,0,0,4.5,0,0.91,0.79,0,11.43,0,1.52,0,0,0
108-118,0,0,0,0,5.47,3.51,0,8.34,0,0.74,0,0,0.5
120,0,0,0,0,0,0,1.32,32.08,0,0,0,0,0
