stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste
  5-6,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,8.56,3.52,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,13.76,17.83,0,0,0,0,0
 14-21,0,0,1.03,0,0,0,0,0,0,2.04,0,0,0.9,0.88,1.26,0
 24-34,0,0,0,0,0,0,0,0,0,9.23,0,0.95,0,0,2.35,0
 36-46,0,0,0,0,0,0,0,0,1.11,6.44,0,0,0,0,3.5,0
 48-58,0,0,0,0,0,0,0,0.63,0,8.91,0,0,0,0,0.64,0
 60-70,0,0,0,0,0,0,0,2.08,0,3.55,0,0,0,0,0.71,0
 72-82,0,0.69,0,0,0,3.8,0,3.37,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.19,0,0.6,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,4.21,0.96,2.33,0,0,5.44,0,0,0,0,0,0.62
108-118,0,0,0,0.51,0,2.52,0,0,0,2.34,0,0,0,0,0,0
120,0,0,0,0,0,0,0,2.85,0,16.78,0,0,0,0,0,0
