stage,axial,blastomeres,endoderm,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,11.1,464.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.67,0,0,0,0
  5-6,31.81,1055.54,0,0,0,0,0,0,10.32,0,0,0,0,0,88.41,0,0,41.99,0,0,0,0
  7-9,0,29.07,62.43,0,38.1,0,0,0,17.83,0,0,0,0,0,672.32,0,130.92,0,0,0,0,0
 10-12,0,11.73,14.09,4.74,11.92,0,0,0,0,0,0,0,0,0,199.01,0,27.87,0,14.75,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0
 24-34,0,0,0,0,2.42,0,0,0,0,0,0,4.97,0,0.89,8.21,0,0,0,0,5.3,0,0
 36-46,0,0,0,0,0,0,1.7,0.66,0,0,1.38,1.54,0,0,6.99,0,0,0,0,0.98,0,7.37
 48-58,0,0,0,0,0,0,0,0,0.48,0,0.41,1.78,0,0.42,11.01,0,0,0,0,1.93,0,2.29
 60-70,0,0,0,0,1.92,0,0,0,0,0.78,5.91,0.97,0.79,0,5.24,0,0,0,0,0.93,0,4.43
 72-82,0,0,0,0,4.25,0,1.66,0,0,0.71,0,2.32,0,0,8.94,0,0,0,0,3.99,0,0
 84-94,0,0,0,0,0.62,0.74,0,0,0,1.81,0,3.96,1.87,0,2.91,2.26,0,0,0,0,0.55,1.02
 96-106,0,0,0,0,1.3,0,0.88,0,0,0,0.6,0,0,0,6.22,0,0,0,0,0,0,0
108-118,0,0,0,0,1.15,0,2.17,0.91,0,0.57,0,7.84,0,0,3.95,0,0,0,0,0,0,0
