stage,axial,epidermis,eye,fast.muscle,mesenchyme,mural.cell,muscle,neural,spinal.cord,vascular.smooth.muscle
  7-9,3.98,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.23,0,0
 24-34,0,0,0,0,0.85,0,1.3,2.07,0,0
 36-46,0,0,0,0,2.58,0,1.95,3.28,0,0
 48-58,0,0,0,0,6.26,0,3.79,1.04,0,0
 60-70,0,0,0,1.41,15.41,2.08,3.02,13.1,0,0
 72-82,0,0,0,0,10.41,0,2.63,13.67,0,0
 84-94,0,0.77,0,0,11.64,0,2.28,5.12,0.65,0.77
 96-106,0,0,0,0,2.11,0,2.2,5.23,0,0
108-118,0,0,0,0,7.1,0,0.73,4.38,0,0
120,0,0,9.39,0,10.43,0,0,8.61,0,0
