stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,visceral_smooth_muscle
  5-6,40.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0
 24-34,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,2.91,0,0,0,0,0,1.38,0
 36-46,0,0,0,12.37,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0
 48-58,0,0,0,38.31,0,0,0,0,0,0,0,0,0,0.45,0,12.09,0,0,0,0,0,1.4,0
 60-70,0,0,0.56,496.79,0,0,0,0,0,0,0,0,0,2.01,0,9.41,0,0,0,0,0,0,0
 72-82,0,0,0,506.91,0.55,0.82,1.46,0,0,0,0,0.62,0,0.96,0,18.23,0,0,0,0,0,0,0.52
 84-94,0,0.71,0,505.79,0.56,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,1.37,1.29,0,0
 96-106,0,0,0,312.22,0,0,1.27,0.7,0,0.65,0.66,0,0,2.13,1.81,17.6,2.19,0.85,0,0,0,0,0
108-118,0,5.59,0.56,415.15,0,0,1.02,0,0.52,0,0,0,2,3.17,0,4.58,0,0,0,6.53,1.92,4.11,0
120,0,4.45,0,293.78,0,0,0,0,0,0,0,0,0,0,0,11.92,0,0,0,1.43,1.83,0,0
