stage,blastomeres,epidermis,eye,glial,hatching_gland,immune,mesenchyme,muscle,neural,paraxial_mesoderm,periderm
  3-4,10.18,0,0,0,0,0,0,0,0,0,0
  5-6,118.97,0,0,0,0,0,0,0,0,0,8.01
  7-9,0,0,3.56,0,6.42,0,0,0,16.14,11.13,0
 10-12,0,0,0,0,0,0,0,0,0,5.48,0
 14-21,0,0,0,0,0,0,0,0.82,1.07,0,0
 24-34,0,0,0,0,0,0,0,0,1.28,0,0
 48-58,0,0,2.59,0,0,0,0,0.4,0.6,0,0
 72-82,0,0,0,0,0,0,0.67,0,0.9,0,0
 84-94,0,0,0,0,0,0,0,0,1.36,0,0
 96-106,0,0,0,0,0,1.19,0,0,0,0,0
108-118,0,0.43,0.8,0,0,0,2.32,0,0,0,0
120,0,0,0,1.7,0,0,0,0,0,0,0
