stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19460.17,391106.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20073.31,0,0,0,0,0,0,0,0,0,0
  5-6,20363.73,179681.14,0,152.04,0,0,0,0,0,0,0,0,491.84,0,0,0,0,0,0,0,0,0,0,0,7989.39,350.02,0,0,742.1,0,3813.71,0,0,0,0,0,0,0,0,0,0
  7-9,656.98,285.68,0,295.85,0,0,547.4,0,0,0,0,0,516.31,0,0,0,0,0,0,0,0,0,0,0,9254.39,535.25,0,0,2678.38,0,39.3,4158.76,0,0,0,0,0,0,0,0,0
 10-12,3.8,68.81,0,81.37,0,0,101.35,0,0,0,0,0,49.32,0,0,0,0,0,0,0,0,0,0,0,945.08,31.55,0,0,423.74,0,4.33,2322.91,0,10.4,0,0,0,0,0,0,0
 14-21,0,0,1.07,0.81,23.32,1.93,7.83,0,0,0,2.93,1.67,0,0.89,0,0,0,0,0,0,12.92,0,0,4.92,199.94,1.63,0,0.85,0.82,0,13.11,220.7,11.39,1.05,0,8.45,13.99,0,1.55,0,0
 24-34,0,0,0,2,1.27,0,22.9,0,0,0.92,7.93,3.42,0,0,2.43,0,7.72,0,0,4.82,21.61,0,0,15.01,236.23,0.6,1.36,1.5,0,0,18.52,9.89,0,0,0,0,37.76,0,10.11,0,0
 36-46,0,0,0,0,1.24,0,16.02,1.88,13.97,0.96,10.53,0,0,3.46,0,12.02,0,0,0,0,39.59,0,0,7.41,153.4,0,1.77,6.86,0,0,39.48,5.65,0,0,6.64,0,32.67,0,11.79,0,0
 48-58,0,0,0,0,4.73,0,30.38,2.91,0,0.86,16.27,0,0,1.29,4.81,4.73,3.15,0,0,0.43,44.38,0,1.64,13.67,193.96,2.88,1.83,15.11,0,0,11.6,0,0,0,0,0,26.61,0,16.84,0,6.79
 60-70,0,0,0,0,1.85,0,89.33,0.76,8.13,2.8,9.83,0,0,3.33,3.78,0,0,1.16,2.6,0,56.92,0,3.33,11.22,118.34,0,0,3.61,0,1.53,21.72,0,0,0,0,0,24.04,0,8.92,0,0
 72-82,0,0,0,0,1.21,3.91,68.83,1.52,2.5,0,14.92,0,0,0,7.58,0,3.32,0,1.19,0,45.95,0,5.54,12.22,119.01,0,0,1.61,0,0,2.65,0,0,0.9,0,0,20.43,1.7,3.89,1.53,0
 84-94,0,0,0,0,0,2.57,58.13,0,0,2.69,10.58,0,0,1.9,2.29,0,1.05,0,1.35,0,32.42,0,9.08,6.63,48.71,0,0,0,0,2.48,9.31,0,0,0,0,0,6.25,0,0.92,1.69,0
 96-106,0,0,0,0,8.07,0.68,22.63,0,0,2.35,9.8,0,0,0.73,0,0,0,0,0,0,53.06,0,2.43,0,114.73,0,1.44,4.55,0,0,2.59,0,0,0,0.82,0,7.49,0.83,4.18,0.96,0
108-118,0,0,0,0,3.52,0.46,5.49,2.37,0.72,1.38,4.95,0.47,0,2.29,0,0,0.92,1.64,1.91,0,37.64,4.91,3.32,0.85,45.1,0,0,1.22,0,0,7.27,0,0,0,0,0,0,0.56,5.55,0,0
120,0,0,0,0,3.19,0,65.3,0,0,2.94,25.44,0,0,0,2.07,0,0,0,1.42,0,79.43,1.72,0,5.21,118.12,2.45,0,7.09,0,0,0,0,0,0,2.35,0,7.07,3.14,0,0,0
