stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,iridophores,mesenchyme,neural,periderm,spinal.cord,vasculature
  3-4,14.37,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0
  7-9,0,0,0,0,0,3.77,0,0,0,0,11.79,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.11,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,4.01,0,1.29,0
 36-46,0,0,0,0,0,0,0,0,0,0,20.44,0,0.79,0
 48-58,0,0,0,0,0,0,0,0,0,0.48,23.82,0,0,0
 60-70,0,0,0,0,0,11.08,0,29.16,0,1.6,37.49,0.67,0.86,0
 72-82,0,0,0.52,4.79,0,5.2,0.71,0,0,0,71.37,0,0,4.46
 84-94,0,0,0,0,0,2.41,0,0,0,0.89,23.22,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.73,170.89,0,2.37,1.9
108-118,0,53.86,0.43,2.08,0.61,6.17,0,0,1.25,1.17,10.66,0,0,0
120,0,0,2.49,0,0,0,0,0,0,1.02,26.4,0,0,0
