stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.44,0,0,0,0,0,0,0,0,0
  5-6,8.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.14,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,16.5,0,0,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,15.95,1.03,0,0,0,0.83,1,0,0,0,0.8,0,0,0,1.76,0,0,1.24,54.35,0.83,1.37,2.96,0,3.06,3.08,0,6.33,17.62,0,0,0,0,0
 24-34,0,0,1.43,2.29,0,3.33,0,0,2.53,1.33,0,0,1.86,0.75,0,0,0,3.64,0,0,11.19,124.5,0,0,1.37,0,1.45,0,0,0,25.81,0,0,1.74,0,0
 36-46,0,0,0,1.08,0,8.55,0,0,3.28,0,0,0,0,0,0,0,0,4.97,0,0.56,1.65,34.44,0,1.21,11.47,0,4.49,0,0,0,12,0,0,0.94,0,0
 48-58,0,0,0,0,0,20.44,0,0,1.64,0,0,0.48,4.53,0,0,0,0.37,7.66,0.5,0.47,3.13,51.78,0,0,0,0,5.32,0,0.37,0,5.72,0,0,2.89,0,0
 60-70,0,0.65,0,1.85,0,6.39,0,0,10.97,0,0,0,5.77,0,0,0,0,1.43,0,0,0.56,39.17,0,1.11,0,0,2.35,0,0,0,1.39,0,0.73,0,0,0
 72-82,0,1.44,0,2.9,0,12.52,0,0,1.73,0,0,1.12,7.76,0,0,1.15,0,21.76,1.23,0,0.51,16.9,0,0.49,0.49,0,0.53,0,0,0,0,0,0,6.75,0.57,0
 84-94,0,0,0,3.63,0,8.02,0,0,1.21,1.73,0,0,6.08,0,0,0.96,0.74,4.05,1.16,0,0,15.62,0,0,0,0,4.71,0,0,0,2.98,6.14,2.89,2.14,1.09,0
 96-106,0,0,0,2.78,0,3.39,0,0,0.95,3.72,0,0,3.64,0,0,0.86,0,11.47,0,0,0,12.2,0,1.15,0.73,0,3.35,0,0,0,5.56,0,0,2.81,0,0
108-118,0,1.24,0,7.3,2.74,7.13,3.5,0,3.75,2.11,0,0,7.61,0.55,1.09,0,1.12,16.68,0.53,3.47,1.51,27.25,0,0,1.53,0,5.31,0,0.43,0,0.57,5.46,0,1.04,0,2.76
120,0,0,0,3.78,2.62,1.67,0,3.67,7.33,1.09,0,0,19.47,0,1.74,0,0,12.65,0,0,0,39.45,0,1.61,0,0,22.75,0,0,0,0,0,0,2.39,0,0
