stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0
 14-21,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,1.31,0,0,0,0
 24-34,1.17,0,0,2.48,0,0,0,0,0,0,0,0,0,2.42,14.61,0.63,0,0,2.68,3.45,0.82,0,0,0
 36-46,0,0,0,9.38,0,0,0,1.05,0,0,0,1.99,0.76,0.68,4.53,0.91,0,3.34,8.38,0.55,1.63,0,0.62,0
 48-58,0,0,7.08,6.85,0,0,0,0.63,0,0,0,3.89,1.68,6.28,9.68,4.54,0,0.77,8.13,0,0,0,0,0
 60-70,0,0,11.92,2.9,0,2.92,0,0,0,0,3.41,1.61,0,1.93,2.08,3.19,0,0,2.77,0,0,0,0,0
 72-82,0,0.56,13.32,1.15,0,0,1.3,0,0,0,0,0,1.98,4.39,2.88,2.78,0.71,0.56,0,0,0,0,0,0
 84-94,0,0,0.61,7.85,0.74,3.43,0,0,0,0.61,0,0,1.93,0.67,1.82,2.51,0,0,0.85,0,0,1.03,0,0
 96-106,0,0,1.37,4.1,0,0.92,0,0,1.12,0,0,2.27,0,9.4,15.49,1.1,0,4.88,1.27,0,0,0,0,0
108-118,0.45,0,6.98,10.32,0,0.99,1.36,4.55,0,0,0,0.64,1.63,1.78,4.47,3.52,0,0,4.58,0,0,0,0,2.33
120,1.11,0,0,7.87,0,0,0,1.15,0,0,0,0,0,0,0,30.52,0,0,14.66,0,0,0,0,0
