stage,blastomeres,epidermis,eye,fin_epithelia,gut,hatching_gland,liver,neural,olfactory
  5-6,6.24,0,0,0,0,0,0,0,0
  7-9,3.31,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.16,0,9.42,0
 60-70,0,0.6,0,0,0,0,0,0,1.56
108-118,0,0,0.88,0.44,0,0,1.45,0,0
120,0,0,0,0,3.34,0,0,0,0
