stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,spinal.cord,xanthophores
  3-4,15.32,445.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.8,429.65,0,0,0,0,0,0,0,0,0,0,0,0,32.42,7.5,0,0,0,0
  7-9,10.05,0,9.8,0,0,0,0,5.3,0,0,0,0,0,0,73.52,41.69,0,0,0,0
 10-12,0,0,0,0,5.04,0,0,0,0,0,0,0,0,0,39.58,7.95,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,2.01,0,0,0,0,0
 24-34,0,0,0,1.43,0,0,0,0,6.7,0,0,4.48,0,2.3,5.4,0,0,3.96,1.14,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,5.36,0,6.39,2.53,0,0,0,0,0
 48-58,0,0,0,0,3.08,1.33,0,0,0,0,0,5.63,0,1.66,2.05,0,0,0,0.81,0
 60-70,0,0,0,1.99,2.01,0,0,0,0,0,0,14.95,3.25,0.83,0.84,0,0,0,0,0
 72-82,0,0,0,0,2.03,0,0,0,0.89,0,0,4.48,0,0,1.21,0,2.17,0,0,1.18
 84-94,0,0,0,0,12.16,0,0,0,0,0,0,5.39,1.44,0,0,0,0,0,0,0
 96-106,0,0,0,0.6,0.57,0,0,0,0.78,0,0,0,0,0,0,0,1.37,0,0,0
108-118,0,0,0,0,2.06,0,0,0,0,0.75,0.55,3.29,0,1.37,0,0,1.33,0,0,0.99
120,0,0,0,0,0,0,1.7,0,0,0,0,24.12,0,0,6.97,0,0,0,0,0
