stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,149.54,8158.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.31,0,0,0,0,0,0,0,0,0,0
  5-6,64.83,864.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.84,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.64,0,0,0,0,0,32.43,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,110.1,0,0,0,18.2,0,0,67.59,0,0,0,0,0,0,0,0,0
 10-12,0,17.3,0,15.24,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.5,15.87,0,0,10.99,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10.74,0.9,11.33,0,0,0,4.76,1.19,0,0,0,0,0,0,0,25.32,15.21,0,0,2.84,341.48,0,0,18.7,0.99,0,0,0,3.71,0,2.62,73.05,0,0,2.01,0,6.99
 24-34,0,0,0.66,0,20.92,0,58.33,0,0,0.72,7.66,0,0,0,0,0,0,0,0,39.48,44.58,0,0,11.8,399.71,0,5.24,14.12,0,0,2.93,0,0.95,0,2.35,87.61,0,0,12.28,0,17.59
 36-46,0,0,1.83,0,11.39,0,117.71,0,3.52,0.78,61.02,0,0,1.65,0,0,1.3,0,0,28.47,44.29,0,0.8,8.93,852.94,0,3.24,0.67,0,0,3.86,0.68,0,0,0,155.8,0,0.85,2.03,0,14.78
 48-58,0,0,0,0,8.43,0,243.45,1.02,1.72,0,221.02,0,0,0.87,0,0,1.23,0,0,17.77,79.61,0,4.91,7.25,1007.82,1,1.54,2.54,0,0,1.04,0,0,0,0,221.29,0,0.64,2.64,0,43.24
 60-70,0,0,0,0,12.86,2.79,413.11,0,9.63,2.26,457.36,0,0,0,6.79,0,7.43,0.84,0,4.12,139,0,13.16,11.63,1175.54,0,0.96,9.54,0,0,3.99,0.64,0,1.06,0,291.48,0,8.76,4.44,2.71,51.13
 72-82,0,0,0,3,26.34,7.28,1108.94,0,0,4.64,897.22,0,0,2.25,0.85,0,3.97,5.77,1.54,9.86,266.47,0,22.93,9.32,1730.13,0,8.32,2.68,0,1.97,0,0,0,0,0,232.8,4.24,16.55,5.2,20.03,54.57
 84-94,0,0,1.32,2.81,48.77,0.76,982.12,0,19.54,1.8,636.33,0,0,1.45,0,0.56,8.46,1.53,0,23.23,186.85,0,17.09,0,1270.94,0,0.65,9.89,0,2.68,9.66,0,0,0,0,199.48,0,7.02,11.26,15.51,14.56
 96-106,0,0,0,1.99,43.58,12.37,1616.51,0.87,5.59,5.38,1064.65,0.63,0,4.2,1.16,0.9,2.51,1.83,3.56,15.08,157.85,0,16.02,6.46,1497.39,0,6.43,7.6,0,2.64,3.4,0,0,0,0,129.33,0,21.1,2.43,14.53,19.63
108-118,0,0,0,3.77,92.25,5.75,2087.3,1.13,15.68,6.48,1373.89,0,0,5.24,1.28,0.75,3.68,1.82,7.42,12.61,216.14,0,30.57,8.67,1957.21,0.8,9.71,11.02,0,0,8.18,0,0,0,0,87.61,0.68,24.42,2.51,10.61,22.72
120,0,0,0,0,79.64,15.17,1245.52,2.34,7.35,0,1135.81,0,0,0,1.51,0,8.54,0,7.07,12.46,178.17,1.49,38.36,2.23,2538.24,0,0,2.34,0,0,2.91,0,0,5.04,0,118.63,0,19.95,16.3,17.15,19.46
