stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.8,158.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,153.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.88,0,0,0,19.18,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.27,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,5.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.17,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0.84,0,0,3.16,0,0,0,0,0,0,0,0,1.41,2.61,0,0,0,0
 24-34,0,0,0,0,0.69,0,0,1.1,0,0,0,0,0,0,0,0,2.18,1.99,0,0,25.15,0,0,0,0,0,0.84,0,0,0.81,1.29,0,3.52,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,47.28,0,1.21,0,0,0,1.66,0,0,0,2.8,0,0.6,0,0
 48-58,0,0,0,0,3.95,0,0,1.34,0,0,0,0,0,2.7,0,0,0,2.64,0,0,97.11,0,0,0,0,0,0,0,3.03,0,9.27,0,3.36,0,0
 60-70,0,0,0,0,7.39,0,0,0.79,0,0,0,0,0,7.54,0,0,0,6.31,0,0,108.51,1.83,1.31,0,0,0,1.27,0,1.58,0,25.51,0,0.71,0,0.94
 72-82,0,0,0,0,18.8,1.07,0,0.58,3.98,0,0,0,0,11.38,0,0,0,12.73,0,0,169.68,0,0.71,0.56,0,0.71,1.28,0,0,0,29.47,0,0.56,0,0
 84-94,0,0,0,1.9,8.42,1.36,0,0,0,0,0,4.31,0,13.56,0,0,0,0.8,0,1.42,84.43,0,1.78,0,0,0,1.68,0,0.63,0,35.31,0,0,0,0
 96-106,0,0,0,0,14.26,2.02,0,1.33,2.37,0,0.62,0.57,0,10.39,0,1.01,0,12.32,1.53,0.92,78.5,0,8.27,0,0,0,39.9,0,0,0,2.47,0.89,1.92,0,0
108-118,0,0,0,4.48,4.74,0,0,2.55,1.2,0,1.79,7.07,1.45,37.5,0,0.89,0,6.11,0,0.92,89.07,0,1.07,0,0,0,19.55,0.62,0.49,0,3.89,0,3.46,0.57,0
120,0,0,0,8.92,21.15,0,3.14,0,1.09,0,1.85,4.66,2.26,35.26,4.64,0,0,0,0,0,153.77,0,0,1.47,0,0,47.37,0,0,0,4.01,0,3.03,0,0
