stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  7-9,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42,9.29,0,0,0,0
 14-21,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41,0,1.31,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,12.12,0,0,0,0
 36-46,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,36.06,0,1.32,0,0
 48-58,0,2.64,0,0,0,0,4.55,0,0,0,0,2.77,0,0,0,0,0,0,11.19,0,0,0,0
 60-70,0,2.61,0,0,7.17,0,0.75,0,0,0,0,0,0,0,0,0,1.19,0,17.43,0,0,0,0
 72-82,0,2.98,3.67,2.85,0,0,1.3,0,0,0,0,0,1.17,5.85,0,0,5.88,0,7.27,0,0,0,0
 84-94,0,16.87,0,0,2.37,0,1.52,0,0.58,0,0,0,1.84,2.38,0,0,0,0,17.06,0,0,0,0
 96-106,0,14.81,0,2.97,2.06,0,4.08,0,0.92,0,0.63,0,0,0,0,0,4.33,0,25.45,0,0,0.61,0
108-118,0,24.74,0,0,1.83,0,2.17,1.42,2.38,0.44,0,3.09,3.83,2.5,1.88,0,0,0,15.69,0.97,0,0,4.11
120,0,35.71,0,0,6.48,6.89,9.49,4.03,0,0,0,0,15.94,1.15,0,0,0,0,21,0,0,0,0
