stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,6.58,1.46,5.11,0,3.12,0,0,0,0,0,0,0,11.17,0,0,5.72,70.47,0,2.38,4.18,19.02,0,17.75,14.36,0,0,0,0
 24-34,0,0,2.92,0,5.14,0,0,0,0,0,0,0,0,0,5.03,0,0,0,37.98,0,0,4.46,0,0,0,10.45,0,0,1.55,15.06
 36-46,0,0,0,0.81,1.95,0,6.69,0,0.57,0,0,0,1.19,0,20.69,0,0,0.98,26.31,0,0,0.84,1.39,3.27,0,5.14,0,0,0.63,9.3
 48-58,0,0,0.5,0,1.58,1,0,0,0,0,0,0.78,0.8,0,8.46,0,0.6,1.55,10.27,0,0,0,0,0,0,0.72,0,0,0.45,0
 60-70,0,0,6.7,0,16.35,2.6,3.64,0,0,0,0,0,0.63,0,4.1,0,0,2.06,2.55,0,0,3,0,0,0,5.02,0,0,0,7.28
 72-82,1.26,1.12,7.39,0,2.39,2.16,3.03,0,0.93,0,0,1.38,0,0.99,10.49,0.73,2.93,1.96,11.24,0.58,0,1.09,0,0,0,4.61,0,0,3.38,7.15
 84-94,1.46,0,2,0,0,0.74,3.26,0,0,1.69,0,0,0,0.58,8.53,0,5.16,0.86,8.42,0,0,6.31,0,0,0,0,0,0,5.16,0
 96-106,0,0,7.7,1.3,0,0,2.11,0,1.22,0,0.67,0,0,0,7,0,0,0,4.04,0,0,1.55,0,0,0,6.25,0.98,0.72,0.58,0
108-118,0,0,5.57,0,3.81,0,0.71,0.74,0,0.52,0,0.64,0,0,12.76,0,1.16,0,3.52,0,0,3.53,0,0,0,0,1.21,0,0,0
120,2.96,0,1.48,0,1.87,0,0,1.26,0,0,0,0,1.12,0,1.73,0,26.5,0,5.48,0,0,0,0,0,0,0,0,0,5.71,0
