stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,12.8,102.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,44.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0
  7-9,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.53,0,17.1,0,5.78,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.68,0,0.89,0,0,0,0,0,0,2.29,12.04,0,0.89,0,0,0,0,5.87,0,0,0,0
 24-34,0,0,0,0,2.76,0,0,0,0,0,0,0,0,3.06,61.58,0,0,0,0,0,0.75,7.65,0,0,0,0
 36-46,0,0,0,0,6.04,0,1.07,0,0,0,0,0,0,2.12,92.38,0,0,0,0,0,0,24.86,0,0,0,0
 48-58,0,0,0,0,8.74,0,2.33,0,0,0,0,3.41,0,4.24,164.05,0,0,3.72,0,1.81,0,21.27,0,0,0,0
 60-70,0,0,0,2.01,41.48,0,2.06,0,0,0,0,26.05,0,0,222.53,0,0,0,0,0,0,36.02,0,0,0,0
 72-82,0,0,0,0.71,44.82,0,4.95,0,0,0,2.77,34.14,0.97,4.88,287.49,0,0,0.53,0,0,0,24.53,0,1.71,0,3.19
 84-94,0,0,0,2.38,39.93,4.54,3.41,0,0.7,0,0,18.7,4.11,1.5,168.54,0.72,0,0,0,0,0,34.44,0,3.05,1.94,7.43
 96-106,0,0,0,2.84,28.43,0,8.02,0,0,0,0,45.39,0,7.58,187.77,1.66,0,0,0,0,0,9.14,0,1.05,0,0
108-118,0,0,0.41,2.69,65.61,0,4.38,1.45,0,2.2,0,62.69,0.94,3.11,234.85,0.79,0,0,0,0,0,25.32,2.03,2.12,0,2.87
120,0,0,0,0,20.13,0,0,0,0,0,0,49.35,0,8.81,352.75,0,0,8,0,0,0,41.19,0,0,0,17.27
