stage,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,mural_cell,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,10.24,0,0,0,0,0,0,0,0,0,0,21.68,0,0,0
  5-6,23.83,0,0,0,0,0,0,0,0,0,0,15.98,0,0,0
  7-9,0,0,0,0,0,0,0,0,52.5,0,14.24,5.69,0,0,0
 10-12,0,0,0,0,0,0,0,0,32.21,0,8.56,4.49,0,0,0
 14-21,0,1.1,1.21,0.84,0,0,0,0,0,0,0,0,4.65,0,0
 24-34,0,0,0,1.73,0,0,0.65,0,9.92,0,0,0,0,0,1.86
 36-46,0,0,0,0,0,0,0,0,27.37,0,0,0,0,0,0
 48-58,0,0,0,1.18,0,0,0,0,29.72,0,0,0,1.21,0,5.61
 60-70,0,0,1,0,0,0,2.25,0,47.09,0,0,0,4.7,0,0
 72-82,0,0,1.73,1.22,3.05,6.7,2.6,0,90.64,0.81,0,0,0.72,6.01,0
 84-94,0,0,2.51,9.32,0,0,0,0,98.8,0,0,0.66,0,0,0
 96-106,0,0,0,9.93,1.35,0,0,0,88.33,0,0,0,0,0,0
108-118,0,0,0,2.52,4.48,0,4.54,2.52,60.14,0,0,0,0,0,0
120,0,0,0,10.33,0,0,0,0,119.24,0,0,0,15.2,0,4.37
