stage,blastomeres,epidermis,eye,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,somites,spinal_cord,vasculature
  3-4,22.8,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.65,0,0,0,0,0,8.67,0,0,0,0,0,0
  7-9,6.02,0,6.71,0,0,0,39.02,0,0,3.37,0,0,0
 10-12,4.52,0,0,0,0,0,34.81,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0,5.67,0,0,0,0.85,0.98,0
 24-34,0,0,0.77,0,0,0.65,4.8,0.97,0.72,0,0,1.49,0
 36-46,0,0,0,0.61,0,0,3.46,0,0,0,0,0.93,0
 48-58,0,0,1.73,0,0,0,4.41,0,0,0,0,0,0
 60-70,0,0.95,4.62,2.3,0,0.68,1.65,0,0,0,0,0,0
 72-82,0,0,1.7,3.18,0,0,11.5,0,0,0,0,0,0
 84-94,0,0,0,0.67,0.86,0,5.02,0,0,0,0,0,0
 96-106,0,0,0,0.87,0,1.34,4.81,0.62,0,0,0,0,0
108-118,0,0,0,1.56,0,0,0,0,0,0,0,0,0.43
