stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,323.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0
  5-6,41.22,306.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,9.15,0,17.83,0,0,0,0,0,0,0
  7-9,4.23,0,13.38,0,0,0,3.35,0,0,0,3.86,0,0,0,0,0,0,0,0,0,169.95,0,0,0,38.59,0,0,0,0,0,0,0,0,0
 10-12,0,5.11,6.9,0,0,0,10.77,0,0,0,0,0,0,0,0,0,0,0,0,0,162.23,6.58,0,0,73.81,0,0,4.36,0,0,0,0,0,0
 14-21,0,0,0,4.52,1.05,0,0.97,0,0,0.89,0,1.5,0,0,0,0,0.86,0,0,3.69,19.56,0,0,0,0,0,0,6.13,0,2.42,10.29,0,0,0
 24-34,0,0,0,0.6,0,0,6.84,0,0,2.3,0,0,0.67,0,0,1.61,0,11.01,0,4.04,93.73,1.66,1.04,0.64,0,0,2.03,0,0,0.62,14.54,0,0,0
 36-46,0,0,0,1.8,0,0,7.01,0,3.16,2.63,0,0,7.87,0,0,12.24,0,20.15,0,5.31,121.79,0,0,0,0,0,2.59,0,0,0,5.66,0,4.22,3.04
 48-58,0,0,0,0,0,0,31,0,0.4,2.4,0,0.48,0,0,0.74,0,0,3.64,0,5.17,33.94,0,0,0,0,0,3.98,0,1.46,0,6.61,0,0,0
 60-70,0,0,0,5.95,0,0,29.43,0,0,6.46,0,0,0,0.93,0,0,0,20.49,0,1.22,25.34,0.68,0,0,0,0.66,1.49,0,0,0,13.72,0,3.36,0
 72-82,0,0,0,4.03,0,0,9.13,0,0.5,3.6,0,0,0,0,0,0,0,9.42,0,0,25.07,0,0,0.8,0,0,0,0,0,0,10.35,0,0,0
 84-94,0,0,0,5.02,0,0,2.5,0,0,0,0,0,0.62,0,0,0,0,15.35,4.03,2.57,13.56,2.33,0,0,0,0,1.97,0,0,0,0,0,0,2.23
 96-106,0,0,0,0,0,0,7.17,0,0.82,8.15,0,0,0,0,0,0,0,8.92,0,0,2.61,0,0,0,0,0,0,0,0,0,2.16,0,0,0
108-118,0,0,0,7.38,0,0.75,11.31,0,0,0.91,0,0,0,0.51,0,0,0,1.46,0,0,15.77,0.69,0,0,0,0,0.73,0,0,0,5.79,0.5,0,0
120,0,0,0,3.14,0,0,0,3.87,0,33.24,0,0,1.43,0,1.69,0,0,2.09,9.58,1.1,48.8,0,0,0,0,0,0,0,0,0,0,0,0,0
