stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,lateral_line,liver,mesenchyme,neural,paraxial_mesoderm,periderm
 10-12,0,0,0,0,0,0,0,0,0,3.79,3.4,0
 24-34,0,0,0,0,0,0,0,0,0,1.01,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.97,0,0
 48-58,0,0,0,0,0,0,0,0,0,2.9,0,0
 60-70,0,0,0,0.71,1.23,0,0,0,1.89,6.79,0,5.78
 72-82,6.25,0,0,0,0,1.24,0,3.19,0,2.48,0,0
 84-94,0,0,0,0,0,1.27,0,5.3,0.95,1.67,0,0
 96-106,1.89,4.05,0,2.7,2.86,7.76,4.05,0.72,0,9.47,0,0
108-118,0,0,0.45,1.14,1.09,15.8,0,9.83,0,4.85,0,0
120,0,0,0,0,0,8.8,0,1.82,0,3.36,0,0
