stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,451.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0
  5-6,232.43,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0,23.77,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.87,0,0,0,13.88,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,13.93,0,0,0,0,0,0,0,0,21.25,0,0,0,5.63,0,0,0,0,0,0
 14-21,0,0,0,6.22,0,0,0,0,0,0,12,1.92,0,0,0.89,0,0,0,0,0,0,21.24,3.17,0,0,0,76.2,4.37,47.63,0,0,0
 24-34,0,0,0.61,24.31,0,0,1.75,0,0,0,17.95,0,4.49,0,8.29,0,0.7,0,1.54,7.79,1.65,47.47,0.69,2.1,2.98,0,172.94,23.57,69.88,0,0,3.74
 36-46,0,0,0,51.02,0,0,14.58,0,0,0,28.28,0,0,0,4.83,0,0,0,0,0.65,0,51.66,0,0,7.34,0,230.31,6.42,21.66,0,0,0
 48-58,0,0,0,27.63,0,0,18.66,0,0.8,0,21.72,4.06,4.3,0,1.6,0,1.59,0,3.1,4.22,0,30.36,0,0.91,1.66,0,148.28,2.04,20.3,0,0,0
 60-70,0,0,0,23.49,0,0,43.23,0,1.28,0,58.65,11.42,2,0,0.58,0,2.56,0,2.28,5.94,0,27.8,0,0,1.78,0,136.66,5.23,19.28,0.61,0,0.84
 72-82,0,0,0.56,16.88,0,0,44.43,0,0,0,62.23,7.58,0.59,0.6,4.99,0,2.77,0,9,13.73,0,39.38,0,2.43,12.56,0,97.12,1.35,15.59,1.01,0,0
 84-94,0,0,0,37.35,1.05,0,39.94,0,5.03,0.74,44.25,21.03,2.81,0.69,19.48,0,0.59,1.75,4.12,12.98,0,42.67,0,1.52,8.11,0,319.09,0.64,6.58,2.94,1.28,0
 96-106,0,1.8,0,36.96,0,8.85,47.37,3.05,1.21,0,86.63,8.81,0,0.75,15.57,0,4.58,9.97,4.16,7.4,1.02,42.36,0,0.73,14.3,0,288.62,2.36,15.67,1.18,0,0
108-118,0,0,0,67.36,6.25,6.16,48.09,0,7.47,0,65.66,30.36,0,2.22,9.43,0.43,0.69,4.34,9.19,8.86,0.53,15.96,0,0.89,7.55,0,223.68,2.24,15,3.67,0,0
120,0,0,0,65.42,0,8.61,19.77,0,5.55,0,27.51,16.63,0,3.12,8.28,0,3.58,2.05,8.84,19.82,0,36.78,0,1.57,6.38,0,124.98,2.61,1.75,9.04,0,0
