stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,3.4,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.38,0,0,0,0,0,0,0,0
 36-46,0,1.44,0,0,0,0,0,0,0,0,0,1.5,0,0,126.31,0,0,0,0,6.94,0,2.39,0
 48-58,0,13.52,0,0,0,0,0,0,0,0,0,3.06,0,0,172.67,0.41,0,0,3.29,3.29,0,0,0.5
 60-70,0,227.47,0,0,0,2.64,0,0,0,0,0,12.76,0,1.74,290.11,0,0,0,1.45,18.98,0,0,3.56
 72-82,2.13,519.58,0,2.77,0,16.41,1.33,0,0,0,0,5.1,3.15,1.2,330.21,2.75,0,3.44,0,22.31,0,0,12.29
 84-94,0,302.32,0.57,0,1.83,16.03,0,5.71,1.78,0.68,0,7.48,1.24,0,258.49,3.11,0,1.31,3.03,19.28,4.13,0.66,18.03
 96-106,1.87,378.31,0,0,1.54,11.79,0,0,0,0,0,17.42,1.09,3.89,229.24,1.52,0,2.88,0,14.89,5.09,0,8.66
108-118,3.87,462.68,0,0,5.48,12.24,2.01,0,4.16,0,0.51,8.4,6.81,0,310.73,0.72,0,8.05,0,9.65,12.31,0,15.91
120,3.12,207.92,0,0,0,53.58,0,0,7.1,0,0,0,0,0,467.9,0,0,0,0,7.3,8.57,0,40.26
