stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,5.4,0,0,2.74,0,0,0,0,2.02,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.87,0,0,0,29.54,0,0,0.56,0,0,0,4.84,0,0,0,0,0,0,0,0
 48-58,0,0,0.77,0.56,0,0,0,0,0,0,0.44,76.31,0,0,1.42,0,12.45,1.6,4.1,6.92,0.45,0,0,0.49,2.15,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,148.54,0,0,6.57,0,18.42,0,10.99,0.62,4.14,0,0,5.99,0.57,5.09,0
 72-82,0,0,0,1.02,0,5.84,1.55,0.69,1.18,1.46,0,90.02,0,0,2.4,0,55.14,0,4.46,3.35,10.39,0,0,12.33,0.53,26.25,0
 84-94,0,0,0.61,1.19,0,9.64,0,0.59,0,0,0,189.22,0,0,4.71,0.78,79.18,0,3.34,0,3.12,0,0,31.01,2.72,59.82,0
 96-106,0,0,0,0,0,10.13,0,0,4.25,1.61,0.76,263,1.14,28.78,20.71,0,93.21,0,8.4,9.82,55.83,6.08,5.41,39,10.58,123.15,5.72
108-118,0.81,0.49,0,3.06,1.26,10.71,0,0,0.81,3.41,0,193.66,0,1.1,24.98,0,65.22,14.85,25.96,1.13,75.24,0.77,0,15.48,10.23,48.6,6.56
120,0,0,0,2.45,0,0,0,0,0,2.93,2.63,430.13,11.29,0,22.85,0,124.84,0,34.16,1.86,58.36,0,0,61.2,9.24,132.73,16.46
