stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,377.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.73,0,0,0,0,0,0,0,0
  5-6,6.17,291.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.63,4.32,0,0,21.55,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.94,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.75,3.17,0,0,29.67,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.27,0,0,0.86,0,0,0,0.83,0,0,0,0,0,0,0,0,0,1.01,0,0,5.1,35.58,2.04,0,0,0,8.39,3.73,2.09,3.8,14.57,0,0,0,0
 24-34,0,0,0,7.69,0,0,6,0,2.48,0,0.83,0,0,0.76,0,3.48,0,0,0,0,3.85,0,0,0.98,105.59,0,4.64,0,0,11.73,0,0.64,0,36.22,0,0,0,0
 36-46,0,0,0,2.93,0,0,1.06,0,5.91,0,0,0,1.53,0,0,2.47,0,0,0,0,0.67,0,0,0,148.03,0.66,3.7,1.46,0,9.08,0,0,0,56.71,0,0,0,0
 48-58,0,0,0,0.38,0,0,36.85,0,0.83,0.43,12.87,0,0,0.51,0,0.37,0,0,0,0.53,1.07,0.59,0,0.79,338.36,0,0,8.74,0,8.81,0,0,0,58.83,0,2.25,0,2.47
 60-70,0,0,0,2.41,0,0,201.46,3.52,6.7,0,5.12,0,1.71,0,0,0,14.87,0,0,0,7.21,1.43,0,1.22,580.53,0,0,1.26,0,5.42,0,0,0,99.27,0,0,0,0
 72-82,0,0,0,3.15,9.17,0,504.32,0,0.99,1.83,16.42,0.56,0,0,0.66,0,0,1.13,0,0,37.51,0,0,2.23,858.18,0.72,1.42,11.84,0,2.27,0,0,0,77.25,1.26,2.5,0,17.86
 84-94,0,0,0,13.55,8.78,0,496.85,0,3.23,0.59,12.25,0,0,0,0,0.55,1.29,0,0,0,17.51,0,0.82,0.98,680.12,0,0,10.39,0,13.25,0,0,0,95.17,0,0.63,0.82,0
 96-106,0,0,0,19.06,6.79,1.23,775.84,0,4.33,7.76,34.68,0,0,0,2.36,0,0.69,1.36,16.14,7.73,31.37,0,3.47,0,695.82,0,0.71,19.47,0,10.37,0,1.94,0,39.18,0.77,4.05,0,2.61
108-118,0,0,0,16.65,4,0,733.36,0,3.59,0,38.39,0.67,0,0,0,0,0,0,0,0,29.04,0,7.7,0.92,923.01,0,0,13.26,0,16.69,0,0,0,39.75,0,10.98,0.57,0
120,0,0,0,29.61,0,5.95,1357.17,0,19.46,11.33,93.11,2.68,0,0,6.64,1.05,0,1.74,3.61,0,42.33,0,19.65,0,2126.68,1.66,0,28.84,0,2.9,0,3.93,0,73.6,0,30.75,1.8,3.58
