stage,blastomeres,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  5-6,78.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.65,0,0,0,0,0,0,0,32.08,0,5.66,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.24,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 24-34,0,0,0,0,0.61,0,0.88,0,0,0,8.82,0,0,0,0,0.76,0
 36-46,0,0,0.88,0,0,0,0,2.05,0,1.51,12.45,2.29,0,0.57,0,2.66,0
 48-58,0,0,1.96,0,1.65,0.39,0,0,0,0,5.43,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.09,3.57,2.57,0,2.21,0,0,0,0,0,0
 72-82,0,0,0.77,1.22,3.37,0,0.64,0.88,0,2.29,1.54,0,0,0,0,0,0
 84-94,0,0,1,0,0,0,2.61,0,0,0,2.74,0,0,0,0,0,0
 96-106,0,0,3.64,0,0,0,4.27,5.8,0,0.69,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,2.7,0,0,0,8.85,0,0,0,0,0,0
120,0,1.35,10.38,0,0,0,31.86,0,0,0,18.55,1.61,0,1.71,0,0,1.66
