stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,42.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.33,3.3,0,0,0,0,0,3.56,0,0,0,32.67,0,0,13.18,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,39.22,0,0,5.5,0,0,0,0,0
 14-21,0,0,2.12,0,0,0,0,0,0,0,0,4.99,0,0,0,0,0,0.9,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.69,10.05,0.69,0,0,0,0.84,5.59,0.98,0
 36-46,0,0,0,0,1.87,0,0,0,0,0.58,0,17.54,0,0,0,0,0,1.26,0,0
 48-58,0,0,0,3.01,0.73,1.48,0.61,0,0,0.49,0,3.37,0,0,0,0,0,0.6,0,0
 60-70,0,0,0,0,12.19,0,10.9,0,1.94,0.6,0,14.58,0,2.92,0,0.86,0,0,0,0
 72-82,0,0,0,0,0,0,0.51,0,0,0.62,0,2.69,0,0,0,0,0,0,0,0
 84-94,0,0,1.38,0,2.34,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0.91,0
108-118,0,0,0,0,0.88,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,5.03
120,0,0,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,0,0,0,0
