stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste
  5-6,31.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0
 14-21,0,1.1,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,8.57,0,0,0,0,1.04,0,0,0
 24-34,0,0,0,0.8,0,0,0,0,0,0,1.42,0,0,0.83,0,0,34.34,0,0,0,0,0,0,0,0
 36-46,0,0.74,0,5.21,0,0,0,1.01,0,0,0,0,0,0,0,0,174.17,0,1.66,0,0,0,0,3.48,0
 48-58,0,0,0,16.55,0,0,0.78,0.77,0,0,0,0,2.82,0,0,1.09,444.04,0,0,0,0,0,0,27.67,0
 60-70,0,2.27,0,63.75,0,0,5.08,24.08,0,0,0,0,1.92,0,0,0,1130.17,1.78,0,0,0,0,0,55,0
 72-82,0,4.48,2.92,129.79,0,0,4.36,32.79,0,0,0.54,0.57,16.37,0,0,0,1281.77,0,4.87,0,0,0,0.53,73.35,0
 84-94,0,7.38,0,118.71,0,2.49,6.29,22.17,0,2.05,0,0,13.67,0,1.88,2.41,761.74,0,3.43,0,0,0,0,47.91,0
 96-106,0,6.98,5.68,80.76,0,0,11.42,9.75,1.18,0,2.15,0,14.55,0,2.34,0,771.88,0,16.02,0,3.56,0,0,33.88,1.13
108-118,0,8.71,0,120.99,6.19,0,5.18,14.86,0,0,0,0,14.69,0,0,0,915.28,0,3.34,0.96,0,0,0,14.86,0
120,0,26.69,0,76.63,0,0,2.45,16.58,1.92,0,0,0,24.88,0,0,0,1263.57,0,0,0,0,0,0,95.27,0
