stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,219.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.97,185.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.92,0,0,0,0,0,0,0,0,0,0
  7-9,79.88,23.64,0,9.96,0,0,60.82,0,0,0,0,0,25.27,0,0,0,0,0,0,0,0,0,0,0,555.39,11.11,0,0,61.1,0,532.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,45.15,0,11.7,0,11.87,53.4,0,0,0,0,0,8.91,0,0,0,0,0,0,0,0,0,0,0,921.37,50.93,0,0,142.81,0,406.2,0,6.27,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.02,59.07,4.33,3.54,0,0,0,2.28,0.85,5.36,0.81,0,128.52,0,0,0,0,0,16.09,0,3.44,132.26,7.71,9.3,5.05,1.35,0,1965.77,6.06,1.44,0.84,9.32,15.55,0,0,1.24,0,0
 24-34,0,0,0,0.82,59.62,1.39,18.93,0,7.69,0,2.33,2.65,2.28,0,3.6,174.61,0,18.25,2.18,0.62,14.16,81.99,0,13.19,535.43,0,76.47,8.15,0,0,4110.75,1.5,10.04,0,5.19,32.55,0,0,1.83,0,0
 36-46,0,0,0,0,26.66,0,11.48,0,11.02,0,1.94,0,0,1.98,0,58.11,0,10.94,9.67,7.61,15.06,72.38,0,3.16,376.75,0.56,41.87,36.24,0,0,4229.5,0,0,0,0,25.64,0,0,5.64,0,11.93
 48-58,0,0,0,0,69.51,2.7,32.69,0,24.74,0,9.2,0.44,1.76,0,0,60.73,0,14,0,5.32,8.4,64.19,0.48,11.47,276.48,0,10.63,4.87,0,0.39,2965.09,0,0,0,0,32.69,0,0.85,0.45,0,3.59
 60-70,0,0,0,0,63.41,0,46.69,0,34.07,0,8.31,0,3.48,1.91,0,47.95,0,19.34,0,0,1.92,32.25,0,0,154.68,5.53,4.46,3.88,0,0,2343.64,0,0,0,0,21.02,12.94,0,1,0,1.07
 72-82,0,0,0,0,169.02,1.2,79.38,0,22.33,0,9.4,13.5,0,0.98,1.06,93.54,0,9.44,0.54,0,22.44,54.08,2.7,4.5,162.19,0,10.26,9.15,0,1.4,1753.78,0,0,0,0,4.31,39.71,0,4.9,0,0
 84-94,0,0,0,0,347.56,9.4,43.13,1.92,66.58,0.85,10.64,30.23,0.86,0.78,1.44,161.08,0.6,22.23,2.64,0,9.98,52.89,4.08,5.3,180.65,0,29.8,1.2,0,0,5145.16,0,0,0,0,0,79.06,0,0,0,9.21
 96-106,0,0,0.6,0,413.56,21.73,26.47,0,56.75,3.99,12.36,55.49,0,0.87,4.35,165.68,1.03,15.02,9.01,0,23.86,68.47,2.73,3.53,115.96,0,21.84,0,0,4.28,4154.27,0,0,0,0,0,74.76,0,1.66,1.67,0
108-118,0,0,0,0,338.29,12.07,32.94,0,63.23,0,8.89,62.92,5.48,0,3.16,136.62,0,12.09,0,0,19.07,78.31,1.21,2.19,159.61,0.43,15.76,4.73,0,0,3055.27,0,0,0,0,8.09,72.4,4.25,1.44,3.17,9.39
120,0,0,0,0,250.25,1.42,12.78,0,38.31,0,0,31.24,0,0,6.23,100.64,0,0,0,0,13.4,17.89,0,0,123.78,0,7.98,0,0,0,1548.35,0,0,0,0,0,25.3,0,0,0,0
