stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.74,344.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.09,0,0,0,0,0,0,0,0,0
  5-6,8.35,133.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.64,0,0,0,10.28,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.96,0,0,0,22.37,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.35,33.34,0.92,0,0,0,0,0,3.92,3.31,0,0,0,0,0,0,3.11,0,4.53,32,1.7,0,0.86,0,0,2.3,0.95,4.85,0.86,46.85,0,0,0,0,0
 24-34,0,0,0.96,3.21,14.68,0,0,8.42,0,2.23,0.69,3.39,4.75,1.94,0,0.83,0,0,0,0.69,0,4.55,306.28,0,1.36,1.09,0,0,1.04,0,20.7,1.29,320.05,0,0,0.67,0,0
 36-46,0,0,0,0,4.28,0,0,11.33,0,2.91,0,10.37,2.32,0,0,0,0,7.76,8.54,4.98,0,2.51,854.53,1.14,0.79,0,0,0,1.18,0,19.3,0,874.27,0,0,0.81,0,0
 48-58,0,0,1.38,0,4.32,0.69,0,48.72,0,5.85,0,22.25,0,0.66,0,0,0,6.44,0,16.74,0,3.03,1369.62,0,1.22,0,0,0,0,0,5.9,0,498.67,0,0,3.16,0,0
 60-70,0,0,0,0,0.82,0,0,79.66,0,3.46,0.67,53.14,0.62,0,1.17,0,0,1.41,0,8.68,0,8.37,1809.71,0,0,1.23,0,0,4.96,0,3.57,0,513.9,0,0,5.15,0,7.21
 72-82,0,0,8.18,0,9.64,0,0,162.91,4.35,1.53,0,82.94,4.76,0,0,0,1.36,0,0,41.97,0,2.08,3087.85,0,0,2.32,0,0,4.86,0,7.8,0,451.16,0,1.33,2.78,3.97,0
 84-94,0,0,4.15,0,8,8.06,0,170.52,0,3.06,0,43.24,10.24,0,5.33,0.6,4.06,1.62,0,28.39,3.41,3.45,1887.51,0,0.93,3.51,0,0,0.78,0,7.54,0,298.1,0,1.04,6.05,0,0
 96-106,0,0,7.38,0,8.46,11.25,1.05,324.91,0,0.58,1.02,60.36,18.85,0,0.57,0,1.41,6.76,7.1,31.44,0,0,2227.16,0,0.68,0,0,2.97,4.9,0,6.02,0,169.68,0,0.75,1.57,0,6.32
108-118,0,0,6.25,0,28.44,1.46,0,307.55,0,0.48,1.84,74.28,12.37,0,1.47,0,5.99,0,0,19.58,0,2.21,3009.85,0.47,2.1,0.78,0,0,7.71,0,2.21,0,113.62,0.43,0,0,1.05,4.66
120,0,0,1.62,0,30.31,4.5,0,240.45,0,0,0,84.75,27.98,0,0,0,1.74,1.05,0,22.32,4.29,2.8,3988.74,0,2,24.5,0,1.79,0,0,5.02,0,193.11,0,0,0,0,0
