stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,45.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,0,0,0,0,0,0,0
  5-6,0,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,33.11,0,0,8.06,4.52,11.02,0,0,0,0,0,0
 14-21,0,0,0,0,0.85,0,0,0,0,0,0,0.87,0,0,0,1.77,0,0,2.44,10.02,0,0,0.87,0,0,2.98,2.2,0,0,0,0
 24-34,0,0,3.99,0,4.84,0,0,0,2.08,0,0.72,0,0.63,0,0,2.41,0,0,2.29,19.07,0,0,0,5.56,0.6,0,1.37,0,0,0,0.7
 36-46,0,0,1.83,0,0,0,0,2.27,0,0,0,0,0,1.07,0,6.77,0.65,0.86,1.23,13.32,1.31,0,0,13.64,0,0,0.75,0,0.71,0,0
 48-58,0,0,7.79,0,0,0,1.6,0.6,0,0,4.84,0,0,0,1.7,3.7,0,0,2.96,3.09,0,0,0,2.72,0,0,2.55,0,0,0,1.34
 60-70,0,0,8.09,0,7.99,0.86,0,3.9,0,0,0,1.28,0,0,0,5.08,0,0,0.6,7.66,0,0,0,13.75,0,0,0,0,0,0,0
 72-82,0,0,2.23,0,0.5,0,0,0.84,0,0,0,0,0.68,0,0,5.56,0,0,0.56,1.63,0,0,0,3.78,0,0,0,0.87,0,0,0
 84-94,0,0,1.84,0,1.1,0,0,2.37,0,0,0,0,0.6,0.57,0,4.76,0,0,0,0.84,0,0,0,0,0.7,0,3.58,0,2.72,0,0
 96-106,0,0,0.84,1.6,0,0,0,0,5.71,0,1.48,0,0,0,0,3.91,0,0,0,3.75,0,1.42,0,7.24,0,0,0,0,1.24,0.61,3.59
108-118,0,0,3.38,0,0,1.16,1.07,3.61,1.37,0,1.09,0,0,0,0.95,3.23,0,0.69,0.98,0,0,0,0,0.67,0,0,0,0,0,0,1.86
120,0,0,3.7,0,0,0,0,0,4.56,0,1.94,0,0,0,0,0,0,0,3.52,4.42,0,0,0,0,0,0,0,0,0,2.66,0
