stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,115.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,100.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.73,10.03,0,0,0,0,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.79,104.01,0,0,14.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,33.73,0,70.57,0,87.76,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,424.61,477.37,0,0,145.99,0,0,0,120.25,0,0,0,0,0,0,0,0
 14-21,0,1.36,0,3.32,155.21,613.55,264.01,0,0,0,9.38,6.06,0,6.12,0,0,3.52,4.26,1.56,63.78,1714.26,0,0,2083.27,1708.14,869.42,0.91,88.52,21.98,0,3.04,122.75,12.07,0.82,419.3,417.89,0,0,78.34,0,21.68
 24-34,0.88,0,0,5.03,60.79,72.13,241.56,1.14,2.75,127.95,8.07,3.64,1.4,7.2,0,0.63,15.19,28.8,2.61,127.21,2982.63,2.22,4.85,2051.39,1040.14,54.91,3.69,121.23,0,2.13,4.36,10.03,0,0,306.89,248.3,0,0,263.12,0,32.85
 36-46,0,0,0,0,19.3,7.27,57.16,0,24.63,339.23,8.82,0,0,17.14,1.03,0.62,14.6,27.89,0,61.61,2843.71,1.78,25.45,1304.06,460.36,4.84,3.78,74.19,0,3.62,2.42,2.44,10.34,0,0,100.68,0,3.03,80.77,0,7.35
 48-58,1.5,0,0,0,10.33,1.36,90.31,1.2,28.11,340.16,6.21,0,0,8.2,0,1.94,3.49,39.11,1.02,17.13,3057.24,0.74,62,1052.75,335.08,3.15,1.07,30.94,0,4.05,0.99,0,0,0.61,0,29.56,0,8.45,39.95,0,2.11
 60-70,0,0,0,0,5.17,0,71.85,37.79,41.41,284.32,6.08,5.56,0,11.23,3.71,0,11.85,24.29,2.74,22.58,3087.03,0.77,89.9,801.33,230.23,0,0,35.02,0,45.48,0,0,0,0,0,29.11,0,42.54,23.62,30.24,0
 72-82,0,0,0.6,0,11.94,0.68,156.14,34.22,6.33,518.66,10.29,2.23,0,15.28,0.88,0,0.69,41.15,0,0.5,4222.36,0.57,69.74,1115.53,177.63,0.85,0.49,15.12,0,58.47,1.53,0,0,0,0,5.51,0,75.49,29.24,109.28,11.16
 84-94,0,0,0,0,9.83,1.14,165.42,30.63,2.72,384.98,24.44,0,0,1.1,1.4,1.15,1.35,35.01,0,5.28,3731.07,0,80.58,881.21,113.36,0,9.02,30.85,0,103.33,2.22,0,0,0,0,6.68,0,112.63,32.18,127.15,0
 96-106,0,0,0.95,1.61,32.28,4.29,155.92,21.52,8.3,342.38,28,1.91,0,21.26,7.33,0.94,6.86,68.5,12.78,7.44,3583.49,0.71,31.14,816.15,217.73,0,1.47,42.69,0,162.63,0.59,0,0,0,0,4.97,0,104.34,47.72,217.22,1.29
108-118,3.02,0,0.84,4.88,10.58,4.86,81.98,13.41,5.4,321.88,17.69,1.42,0,8.33,2.4,0,5.26,47.18,2.34,4.8,3686.43,3.06,60.31,826.03,325.97,0.92,1.02,36.29,0,226.07,5.78,0,0,0,0,2.59,2.01,66.23,22.73,187.21,0.91
120,1.12,0,0,0,13.06,10.93,115.02,14.76,0,320.37,11.72,4.6,0,14.71,3.15,0,7.11,43.46,12.8,1.33,2395.32,0,102.24,521.03,148.75,0,1.45,38.53,0,208.09,2.06,0,22.01,0,0,6.62,2.31,112.9,32.12,239.85,0
