stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,17.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,0,0,0,13.8,0,0,0,0,0,0,0,0,0,0
 14-21,0.84,31.18,3.58,0,0,0,1.16,0,0,0.92,0,0,0,0,0,0.86,0,0,0.9,3.4,16.26,0,0,0.88,1.56,14.23,0,0,2.71,5.2,0,0,0,0
 24-34,0,29.51,0,0,3.88,0,10.09,0.62,0,0,0,0,0.68,0,0,14.94,0,0,8.46,40.07,2.68,0,0,0,1,0,0,0,0,17.39,0,0.77,0,0
 36-46,0,21.36,0.6,0,6.38,0,12.86,0,1.06,0,0,0,2.54,0,0,11.73,0,0,1.53,101.09,1.23,1.15,0,0,2.31,0,0,0,0,31.59,0,0,0,12.47
 48-58,0,31.95,0,0,81.57,0,10.13,0.4,3.37,0,2.25,0,4.35,0,0.62,21.62,0.52,0,4.93,181.74,0.57,0,0.38,0,3.8,0,0,0,0,38.6,0,1.16,0,0
 60-70,0,15.67,0,0,141.43,0,5.7,4.51,5.53,0,0,0,1.32,0,0,25.65,0,1.05,1.01,171.8,0,1.82,0,0,0,0,0,1.58,0,11.72,0,0,0,0
 72-82,0,10.75,0,0,178.4,0,9.42,0.91,9.12,0,0.51,0.58,3.49,0.82,0,26.97,0,2.29,1.55,236.37,0.72,1.76,0,0,4.84,0,0,0,0,14.26,0,0,1.95,0
 84-94,0,16.64,0,0,148.18,0,7.22,1.32,7.6,0,0,0,2.09,0,3.27,17.37,0,0.63,4.16,150.92,0,1.71,0,0,0,0,0,0,0,12.14,6.46,1.8,0,9.02
 96-106,0,8.81,0,0,80.48,0.62,5.39,8.65,2.51,0,0.79,0,7.77,0,0,12.22,0,0,0,92.4,0,0.73,0,0,2.48,0,0,0,0,12.38,0,0,2.57,0
108-118,0,22.01,3.65,0.59,44.22,0,10.07,0,2.45,0,0,0,0,0.43,0,9.55,0,6.54,1.38,128.6,0,1.05,1.06,0,1.01,0,1.91,0,0,2.41,0,0,0.7,0
120,0,22.11,0,0,61.14,0,6.48,0,17.77,0,0,0,0,0,4.02,10.61,0,0,2.53,247.89,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0
