stage,epidermis,immune,lateral_line,mesenchyme,muscle,neural,otic
 48-58,1.17,0,0,0,0.72,0,0.92
 60-70,0,0,0,0.68,0,0,0
 72-82,0,1.06,0,0,0,0,1.82
 84-94,0,0,0,0,3.85,0,0
 96-106,0,2.83,0,0,2.43,1.63,0
108-118,0,16.08,0,0,2.85,0,0
120,0,2.44,3.44,0,0,0,0
