stage,blastomeres,endoderm,eye,hatching.gland,heart,immune,neural,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,spinal.cord,vasculature
  3-4,50.15,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.3,0,0,0,0,0,21.33,0,0,0,0,0,0
  7-9,0,0,0,5.39,0,0,12.89,0,0,0,0,0,0
 10-12,0,3.32,7.89,0,0,0,9.18,0,10.82,4.37,0,0,0
 14-21,0,0,0,4.05,0.97,0,0,0,0,0,0.87,0,0
 24-34,0,0,0,0,0,0,3,0,0,0,0,1.18,0
 36-46,0,0,2.67,0,0,0,0.79,0.6,0,0,0,0,0
 48-58,0,0,17.92,0,0,0,3.3,0,0,0,0,0,1.89
 60-70,0,0,46.28,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,23.32,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,20.26,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,7.9,0,0,0,0,0,0,0,0,0,0
108-118,0,0,8.52,0,0,0.48,0.5,0,0,0,0,0,0
120,0,0,9.9,0,0,0,8.65,0,0,0,0,0,0
