stage,blastomeres,eye,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,104.22,0,0,0,0,0,0,11.94,0,0,0
  5-6,70.1,0,0,0,0,0,7.98,20.33,0,0,0
  7-9,8.67,0,0,0,9.02,5.33,8.8,0,0,0,0
 10-12,0,0,0,0,28.74,8.54,0,0,0,0,0
 24-34,0,4.15,0.6,1.06,0,0,0,0,0.92,0,0
 36-46,0,0,0,0,5.74,0,0,0,0,0,0
 48-58,0,1.1,0,0,10.23,0,0,0,2.2,0,0
 60-70,0,0,0,0,3.79,0,0,0,0,0,0
 72-82,0,0,0,0,1.17,0,0,0,0,0.63,0
 84-94,0,0,0,0,4.44,0,0,0,0,0,0
 96-106,0,1.47,1.63,0,9.08,0,0,0,0,0,0.68
108-118,0,0,0,0,0.86,0,0,0,0,0,0
