stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,xanthophores
  3-4,31.69,32.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.89,30.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.82,0,10.12,0,0,0,103.44,0,0,0,0,40.18,6.28,0,10.3,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,12.06,0,7.92,0,0,0,0,66.09,0,0,32.81,0,5.47,10.14,0,0,11.75,0,0
 14-21,0,0,0,0.87,0,0,0,0,0,0,0,6.59,0,0,0,0,0,0.96,0,0.82,11.35,0,0
 24-34,0,0,0,0,98.83,0,0,0,0,0,0,9.33,0,0,0,1.36,0,0,0,0,0,0,0
 36-46,0,0,0,0,137.7,0,0,0,0,0,0,13.16,0,0,0,0,0,0,0,0,0.85,0,0
 48-58,0,0,0,0,25.74,0.87,0,0,0,1.64,0,5.3,0,0,0,0,0,0,0,0,2.59,0,0
 60-70,0,0,0,0,504.13,0,0,0,0,1.15,0,24.52,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,133.01,0,0,0,0,1.55,0.6,1.2,0,0,0,0,0,0,1.16,0,0,1.69,0
 84-94,0,0,0,0,195.1,0,0,0.67,0,0,0,5.45,0,0,0,2.29,0,0,0,0,0,0.81,0.77
 96-106,0,0,0,0.57,13.21,0,0,0,0,2.44,0,1.7,0,5.32,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.7,96.64,6.99,0,0,0.43,0,0,3.7,0,1.68,0,0,0,0,0,0,0,0,0
120,0,0,0,0,768.81,0,0,0,0,3.62,0,19.55,0,1.05,0,0,0,0,0,0,0,0,0
