stage,eye,glial,hatching.gland,mesenchyme,mucous,neural,periderm,pronephros
 36-46,0,0,4.4,0,0,2,0,0
 48-58,0,0,0,0,0.41,3.59,0,0
 60-70,0,0.67,0,0.88,0,0,0.64,0
 72-82,2.2,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.49,0,0.6
 96-106,2.23,0,0,0,0,1.29,0,0
108-118,4.88,0,0,0,0,0.94,0,0
120,0,0,0,0,0,0,1.05,0
