stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mural_cell,neural,notochord,paraxial_mesoderm,pgc,taste,vasculature,visceral_smooth_muscle
  5-6,12.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.45,0,0,0,0,0,0,13.85,0,3.11,0,0,0,0
 14-21,0,0,0,0,1.08,0,0,1.69,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.33,0,1.86,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.63,5.42,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,11.24,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.63,0,0,1.11,0,0,0,3.31,0,0,0
 84-94,0,0.87,0,0,0,0,0,1.05,0,0,0,0,0,0.62,0,0
 96-106,0,2.29,0,0,0,0.88,0,0,0,0,0,0,0,0,1.21,0
108-118,0,0.72,0,0,0,0,0,1.51,0,1.29,0,0,0,0,0,0.72
120,0,0,0,1.29,0,0,4.72,0,0,0,0,0,0,0,0,0
