stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.89,507.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.7,377.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,24.2,51.9,0,48.15,0,0,0,180.62,0,0,0,0,0,48.73,0,0,0,0,0,0,0,0,0,0,884.06,13.15,0,0,297.29,0,0,14.67,0,0,0,0,0,0,0,0,0
 10-12,0,32.91,0,95.52,0,0,0,153.43,0,0,0,0,0,11.44,0,0,0,0,0,0,0,0,0,0,1657.75,27.66,0,0,418.06,0,0,6.03,0,71.56,5.41,10.39,0,0,0,0,0
 14-21,0,0,1.41,9.42,50.45,7.8,0,19.89,0,0,0,16.45,13.07,0,0,0,0,0,0,0,39.68,0,0,29.67,442.83,3.24,0,8.72,3.99,0,9.21,0,30.82,27.1,41.67,242.68,0,0,0,0,0
 24-34,0,0.83,0,1.24,14.86,0.61,0,48.7,0,0,0,33.53,0,5.6,1.06,0,2.18,0,2.33,0,70.2,0,0,16.83,549.41,0,7.88,7.5,0,0,13.87,0,0,24.23,2.6,200.78,0,0,0,0,0
 36-46,0,0,2.41,0.6,17.09,0.76,0,10.6,0,1.24,2.12,25.9,0.56,0,1.89,0,0,0,0,3.84,47.43,0.68,1.43,5.2,374.73,0,5.71,4.83,0,0,3.37,0,0,4.81,0,166.22,0,0,0,0,2.51
 48-58,0,0,1.34,0,5.63,0,0,52.41,0,1.3,1.64,53.74,3.71,3.43,0.44,0,0,0.93,1.04,9.43,64.94,0.95,0.5,14.52,261.42,0,4.22,7.18,0,0,4.53,0,0,0.38,0,99.15,0,2.08,2.9,0,6.02
 60-70,0,0,0,0,3.98,0.97,0,201.75,0,3.37,1.6,85.92,14.14,0,0.95,0,0.56,0,4.02,9.86,92.2,1.01,4.44,7.75,375.99,0,1.15,4.42,0,2.16,2.49,0,0,8.64,0,90.96,0,2.56,0,0,1.36
 72-82,0,0,5.47,0,8.25,0,1.07,258.2,0,4.23,3.22,69.15,6.29,0,0,0,2.41,1.15,4.71,1.34,114.05,2.53,3.98,4.15,336.63,0,7.91,7.69,0,2.23,7.14,0,0,8.03,0,26.14,2.44,6.34,0,5.68,0
 84-94,0,0,9.53,0.74,15.52,0,2.11,174.01,0.76,7.34,3.46,70.04,20.71,3.41,3.08,1.07,3.96,1.47,8.28,8.78,62.89,0,4.18,9.98,208,0,2.26,28.92,0,0,3.63,0,0,7.52,0,54.78,15.81,8.55,0,1.69,0
 96-106,0,0,7.91,2.67,15.24,10.16,5.79,308,5.83,0,0,102.48,24.53,0,0,0.95,7.57,0.58,10.81,10.67,61.28,0.71,0.98,4.44,234.21,1.63,13.33,10.64,0,4.78,1.45,0,0,7.18,0,33.87,16.29,15.53,2.91,1.84,0
108-118,0,0,5.57,1.72,21.22,0,20.42,178.59,0,0.89,2.14,73.46,26.31,0,1.62,0,10.75,1.96,5.46,18.84,110.52,20.75,7.31,0.97,342.93,0,4.26,6.62,0,0.86,6.5,0,0,10.63,0,16.83,23.91,6.95,3.77,1.76,0
120,0,0,3.74,3.32,19.27,4.03,1.6,252.03,0,0,0,49.57,53.15,0,0,0,8.39,1.17,2.81,7.27,90.31,1.63,9.52,7.7,424.79,8.61,12.09,9.25,0,3.42,0,0,0,18.84,0,49,8.55,8.38,5.76,0,0
