stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.39,48.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.52,0,0,8.75,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59,4.22,0,5.41,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0
 24-34,0,0,1.74,0,0,0,0,0,0,0,0,2.78,0,0,0,28.92,0,0.76,0,0,0,0.88,0,0,0,0,2.41,0,0
 36-46,0,0,0,0,0,3.66,0,0,0,0,0,12.58,0,1.06,0,85.63,0,0,0,0,0,0,0,1.25,0,0,0,0,0
 48-58,0,0,0,0,0,5.41,0,0,2.59,0,0,11.01,0,0,0.46,212.2,0,0,0,0,0.85,0,0,12.47,0,0.51,0,0,0
 60-70,0,0,0,0,0,53.36,0,0.64,0,0,0,38.04,1.14,0,3.21,628.6,0,0,0,0,0,0,0,61.52,0,0,0,1.13,0
 72-82,0,0,2.91,0.55,0,49.95,0,2.85,5.78,0.61,0,85.42,0.59,5.36,3.36,755.66,0,0,0,7.22,0,0,0,81.36,0,1.17,5.25,0,0
 84-94,0,0,2.44,3.21,0,95.7,1.22,10.23,7.98,1.16,0,53.62,0,1.94,2.34,635.59,0,0,0,0,0,0,0,80.65,0,3.98,0,0,0
 96-106,0,0,2.86,0,0,74.89,0,0,11.74,0,10.33,60.7,0,2.28,1.26,550.26,0,0,0,0,0,0,0,9.83,0,7.58,2.94,1.82,0
108-118,0,0,0.69,0,1.25,93.38,0,0,4.32,0,0,65.97,0,3.3,3.73,581.36,0,0,0,0.95,1.04,0.59,0,10.05,0.68,3.26,2.25,2.19,0
120,0,0,10.9,0,0,82.3,0,8.35,12.61,8.1,4.99,51.84,0,2.35,0,648.65,0,2,0,20.34,0,0,0,12.3,0,2.68,13.69,0,8.45
