stage,blastomeres,endoderm,erythrocytes,eye,fin_epithelia,glial,gut,heart,liver,mesenchyme,neural,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,43.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,5.32,0,11.43,0,3.78,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.21,0,0,1.01,0,0,0,0
 24-34,0,0,0,0,1.18,0,0,0,0,0,1.35,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.2,0,0,0,0.66,2.79,0,0,0,0,2.89,0.62,0
 48-58,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0
 72-82,0,0,4.43,3.15,0,0,0,0,0,1.67,0.99,2.04,0,0,0,0,0,0.58
 96-106,0,0,0,6.09,0,1.29,0,0,0,0,0,0,0,0,0,2.16,0,0
108-118,0,0.74,0,0,0,3.18,0.5,0.74,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,15.7,1.7,0,0,0,0,0,0
