stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
 14-21,0,13.9,0,0,0,0,0,0.91,0,0,0,0,0,1.85,0,0,0,0,0,0,0
 24-34,0,5.97,0,0,0,0,0,0.66,0,0,0,0,0,2.8,0,0,0,0,0,0,0
 36-46,0,7.31,0,0,0,0,0,7.87,0,0,0,0,0,1.77,0,0,0,0,0,0,0
 48-58,0,26.78,0,0.38,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0
 60-70,45.62,64.32,0,5.82,2.1,0,0,0,0,0,0,0,0,13.82,0,0,0,0,0,0,0
 72-82,1095.27,89.73,6.34,17.29,4.12,0,0,0.83,0,0,0,0,0,9.16,1.27,0.85,0,1.01,0,0,0
 84-94,469.7,104.52,0,1.34,3.6,0,4.25,0,0,0,0,1.19,0,3.98,0.76,0,0,0,0,0,0
 96-106,662.4,290.94,14.55,6.46,9.11,4.68,61.53,4.65,2.09,31.64,4.6,0,0,14.59,0,0,0,0,1.44,0,20.11
108-118,713.43,224.35,0.65,7.04,4.19,8.6,70.96,6.36,0,0,1.91,0,1.69,21.28,2.91,0,1.19,0,0,0.47,0
120,886.95,341.39,0,0,10.8,0,12.99,5.02,0,5.48,0,1.12,0,17.63,0,0,0,3.65,0,0,0
