stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,62.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.33,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.02,0,0,0,14.47,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.47,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,54.48,0,0,0,18.87,0,0,13.15,0,0,0,0,0
 14-21,0,1.82,65.26,14.55,0,46.29,0,0,2.23,4.35,2.82,0,0,8.7,0,0,0,39.2,0,0,20.82,243.57,0.9,1,2.42,5.5,17.23,38.94,0.94,54.28,58.77,0,0,0
 24-34,0,1.4,7.06,1.86,0,45.23,0,0,1.67,2.28,0,0,6.57,0.86,1.76,0,0,36.11,2.06,0,8.22,155.94,0,0,1.55,0,9.78,0,0,5.53,15.62,0,0,0
 36-46,0,0.56,0.6,0.76,0,41.54,4.54,0,3.77,0.72,0,0,0,0,0,3.76,0,14,0,0,5.72,99.51,0,1.45,0,0,6.16,0,0,0,6.18,0,0,9.93
 48-58,0,0,2.12,0,0,21.96,3.49,0,7.03,1.36,0,0.94,0.68,0,2.3,0,0,10.8,0,0,3.33,87.57,0,1.7,0,0,0,0,0,0,2.46,0,0,0
 60-70,0,0,29.55,0.61,0,28.13,0,0,12.22,0,0,0,0,0,0,0,0,12.84,0,0,6.81,25.59,0,2.35,0,0,3.3,0,0,0,3.15,0,0,2.15
 72-82,0,0,2.55,0,0,29.24,0,4.36,7.22,5.22,0,0,0.59,0,0,0,0,14.51,0.5,2.46,2.7,30.82,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,2.18,1.47,0.6,11.71,0.63,2.65,8.73,2.44,0,0,3.41,0.68,0.6,0,3.23,9.33,0,0.63,4.09,31.73,0,0,0,0,7.24,0,0,0,0,1.17,0,0
 96-106,0,0,9.98,2.68,0,11.79,1.22,0,6.79,0.61,0,1.3,0.78,0,0,0,0,15.67,0,0,3.9,23.69,0,1.1,1.83,0,7.48,0,0,0,0,0,0,1.53
108-118,0,1.06,6.44,1.75,2.51,16.5,0.65,0,14.89,4.11,0,0,0,1.93,0,0,0,14.99,0.75,0.69,7.88,50.37,0,0,0,0,8.6,0,0,0,0,0,0.56,4.14
120,0,0,5.85,2.39,3.12,9.36,0,0,11.51,0,0,0,0,0,0,0,0,9.28,0,0,2.52,47.39,0,0,0,0,15.72,0,0,0,0,2.24,0,8.17
