stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,25.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.18,3.62,6.16,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.54,0,0,0,19.79,0,0,0,0,0,0,0,0
 10-12,0,8.19,22.38,0,0,9.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8,0,0,0,6.84,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.75,1.31,0.93,0,0,0,0,0.97,0,0,0,0,0,0,0,0,1.11,42.64,0,0,0.97,0,0,0,0.89,0,1.76,10.99,0.85,0
 24-34,0,0,0,1.41,0,9.16,0,0.62,0,0,0,0,0,0,0,0,0,0.83,0,2.67,30,0.64,0,0,0,0,0,0,0,0,10.63,0.78,0
 36-46,0,0,0,2.79,8.68,4.52,0,0,0.6,2.96,0,0.87,2.72,0,0,0,0.86,4.57,0,1.43,18,0,1.52,0,0,0,1.48,0,0.88,0,10.11,0,0
 48-58,0,0,0,1.32,0,11.62,0,0.66,0,4.52,0,0,0,0,0,0,0,2.95,0,1.59,26.96,0,0.48,0,0,0,0,0,0,0,6.07,1.45,0
 60-70,0,0,0,0,0,22.88,0.84,3.85,0,7.09,0,0,0,0,0,0,0,11.98,0,2.87,19.87,0,0,0.99,0,0,0.94,0,0,0,1.78,0,2.89
 72-82,0,0,0,2.3,0.86,17.48,0,0,0.75,4.19,0,0.81,0,0,0,0,0,11.05,0,0.64,4.84,0,0,4.93,0,0,0,0,1,0,0.7,0.83,0
 84-94,0,0,0,0.71,2.51,20.13,0,0,0,9.72,0,3.91,0,0,0,0,0,9.73,1.38,0.65,7.64,0,0,0.78,0,0,0,0,0,0,0,1.34,0
 96-106,0,0,0,2.44,1.15,15.62,0,0,0.84,9.21,0.64,1.33,0,0,2.46,0.84,0,36.12,3.68,0.88,10.34,0,0,1.27,0,0,1.3,0,0,0,1.34,1.71,0
108-118,0,0,0,2.37,0.88,29.24,0,0,1.86,5.4,0,0,0.6,0.51,0,0,0,30.96,0.93,6.17,18.84,2.37,0.77,2.57,0,1.02,1.35,0,0,0,2.04,4.82,0
120,0,0,0,0,1.88,6.47,0,0,2.41,14.89,0,0,0,0,0,0,0,8.7,2.03,0,22.55,0,0,0,0,0,0,0,0,0,0,2.73,0
